,UniProt ID,Synonyms
12,O75439,"['peptidase, mitochondrial processing subunit beta', 'EC 3.4.24.64', 'PMPCB', 'MPPP52', 'Beta-MPP', 'P-52', 'Mitochondrial-processing peptidase subunit beta', 'MPPB', 'MPP11']"
13,P47985,"['UQCRFS1 MTS', 'RIS1', 'Complex III subunit 5', 'Ubiquinol-cytochrome c reductase 8 kDa protein', 'Cytochrome b-c1 complex subunit 9', 'UQCR5', 'Cytochrome b-c1 complex subunit 11', 'Su9', 'Subunit 9', 'Cytochrome b-c1 complex subunit 5', '8 kDa subunit 9', 'Complex III subunit IX', 'Rieske protein UQCRFS1', 'UQCRFS1 mitochondrial targeting sequence', 'Cytochrome b-c1 complex subunit Rieske, mitochondrial', 'Ubiquinol-cytochrome c reductase iron-sulfur subunit', 'UQCRFS1', 'MC3DN10', 'Rieske iron-sulfur protein', 'RISP', 'ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1', 'RIP1', 'EC 7.1.1.8']"
14,P25705,"['MC5DN4', 'MOM2', 'COXPD22', 'ATP5F1A', 'ATP5A', 'HEL-S-123m', 'hATP1', 'ATP synthase F1 subunit alpha', 'ATP5AL2', 'ATPM', 'ATP synthase subunit alpha, mitochondrial', 'ORM', 'OMR', 'ATP5A1']"
15,Q02218,"['EC 1.2.4.2', 'OGDH2', 'OGDH', 'OGDC-E1', 'KGD1', 'OGDC', 'Alpha-ketoglutarate dehydrogenase', '2-oxoglutarate dehydrogenase, mitochondrial', 'AKGDH', 'E1k', 'oxoglutarate dehydrogenase', '2-oxoglutarate dehydrogenase complex component E1']"
16,P11177,"['PHE1B', 'PDHBD', 'PDHE1-B', 'EC 1.2.4.1', 'Pyruvate dehydrogenase E1 component subunit beta, mitochondrial', 'PDHB', 'pyruvate dehydrogenase E1 subunit beta', 'PDHE1B']"
17,P22695,"['Cytochrome b-c1 complex subunit 2, mitochondrial', 'UQCR2', 'MC3DN5', 'Complex III subunit 2', 'ubiquinol-cytochrome c reductase core protein 2', 'Core protein II', 'Ubiquinol-cytochrome-c reductase complex core protein 2', 'QCR2', 'UQCRC2']"
18,O14521,"['Succinate-ubiquinone reductase membrane anchor subunit', 'CybS', 'CII-4', 'SDHD', 'PGL1', 'Succinate dehydrogenase [ubiquinone] cytochrome b small subunit, mitochondrial', 'cybS', 'QPs3', 'Succinate dehydrogenase complex subunit D', 'PGL', 'Succinate-ubiquinone oxidoreductase cytochrome b small subunit', 'succinate dehydrogenase complex subunit D', 'CBT1', 'SDH4', 'CWS3']"
19,P82673,"['MRPS28', 'mitochondrial ribosomal protein S35', 'MRPS35', '28S ribosomal protein S35, mitochondrial', 'MRP-S35', '28S ribosomal protein S28, mitochondrial', 'MDS023', 'HDCMD11P', 'S28mt', 'MRP-S28', 'Mitochondrial small ribosomal subunit protein mS35', 'S35mt']"
20,O14949,"['UQCRQ', 'QP-C', 'ubiquinol-cytochrome c reductase complex III subunit VII', 'Ubiquinol-cytochrome c reductase complex ubiquinone-binding protein QP-C', 'MC3DN4', 'QPC', 'UQCR7', 'Ubiquinol-cytochrome c reductase complex 9.5 kDa protein', 'Complex III subunit VIII', 'Complex III subunit 8', 'Cytochrome b-c1 complex subunit 8', 'QCR8']"
21,Q96EL3,"['L53mt', 'MRPL53', 'Mitochondrial large ribosomal subunit protein mL53', 'L53MT', '39S ribosomal protein L53, mitochondrial', 'MRP-L53', 'mitochondrial ribosomal protein L53']"
22,P11182,"['Dihydrolipoamide branched chain transacylase', 'dihydrolipoamide branched chain transacylase E2', '52 kDa mitochondrial autoantigen of primary biliary cirrhosis', 'Dihydrolipoamide acetyltransferase component of branched-chain alpha-keto acid dehydrogenase complex', 'BCKDH-E2', 'Dihydrolipoyllysine-residue (2-methylpropanoyl)transferase', 'E2B', 'BCKAD-E2', 'Branched chain 2-oxo-acid dehydrogenase complex component E2', 'EC 2.3.1.168', 'E2', 'DBT', 'Branched-chain alpha-keto acid dehydrogenase complex component E2', 'BCKADE2', 'BCATE2', 'Lipoamide acyltransferase component of branched-chain alpha-keto acid dehydrogenase complex, mitochondrial', 'BCOADC-E2']"
23,Q16654,"['[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 4, mitochondrial', 'Pyruvate dehydrogenase kinase isoform 4', '-', 'EC 2.7.11.2', 'pyruvate dehydrogenase kinase 4', 'PDK4']"
24,P40926,"['EIEE51', 'M-MDH', 'Malate dehydrogenase, mitochondrial', 'MOR1', 'EC 1.1.1.37', 'MDH2', 'MDH', 'malate dehydrogenase 2', 'MGC:3559']"
25,Q92552,"['Mitochondrial small ribosomal subunit protein mS27', '28S ribosomal protein S27, mitochondrial', 'S27mt', 'MRP-S27', 'Mitochondrial ribosomal protein S27', 'MRPS27', 'mitochondrial ribosomal protein S27']"
26,O75390,"['Citrate (Si)-synthase', '-', 'Citrate synthase, mitochondrial', 'CS', 'EC 2.3.3.1', 'citrate synthase']"
27,Q9HAV7,"['GrpE', 'GrpE protein homolog 1, mitochondrial', 'GrpE like 1, mitochondrial', 'GRPEL1', 'mt-GrpE#1', 'Mt-GrpE#1', 'HMGE']"
28,P10515,"['EC 2.3.1.12', 'PDCE2', 'DLTA', 'dihydrolipoamide S-acetyltransferase', 'DLAT', 'Dihydrolipoamide acetyltransferase component of pyruvate dehydrogenase complex', 'M2 antigen complex 70 kDa subunit', 'PDC-E2', 'Pyruvate dehydrogenase complex component E2', 'Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial', 'PBC', '70 kDa mitochondrial autoantigen of primary biliary cirrhosis', 'E2']"
29,P42704,"['CLONE-23970', 'leucine rich pentatricopeptide repeat containing', 'LRP 130', 'GP130', '130 kDa leucine-rich protein', 'LRP130', 'LSFC', 'Leucine-rich PPR motif-containing protein, mitochondrial', 'LRPPRC']"
30,P36957,"['E2K', 'DLST', '2-oxoglutarate dehydrogenase complex component E2', 'PGL7', 'dihydrolipoamide S-succinyltransferase', 'DLTS', 'KGD2', 'Dihydrolipoamide succinyltransferase component of 2-oxoglutarate dehydrogenase complex', 'EC 2.3.1.61', 'Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial', 'OGDC-E2']"
31,O00330,"['OPDX', 'DLDBP', 'PDHX', 'PDHXD', 'proX', 'Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex', 'Lipoyl-containing pyruvate dehydrogenase complex component X', 'PDX1', 'pyruvate dehydrogenase complex component X', 'E3-binding protein', 'E3BP', 'Pyruvate dehydrogenase protein X component, mitochondrial']"
32,Q96RP9,"['EGF1', 'EFGM', 'Elongation factor G 1, mitochondrial', 'EF-Gmt', 'mEF-G 1', 'EFG', 'mtEF-G1', 'EFG1', 'Elongation factor G1', 'GFM', 'COXPD1', 'G elongation factor mitochondrial 1', 'hEFG1', 'GFM1', 'Elongation factor G, mitochondrial']"
33,O95563,"['SLC54A2', 'Brain protein 44', 'Mitochondrial pyruvate carrier 2', 'BRP44', 'mitochondrial pyruvate carrier 2', 'MPC2']"
34,P28331,"['CI-75Kd', 'Complex I-75kD', 'NADH:ubiquinone oxidoreductase core subunit S1', 'NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial', 'CI-75k', 'PRO1304', 'CI-75kD', 'EC 7.1.1.2', 'MC1DN5', 'NDUFS1']"
35,Q9H2W6,"['MRP-L46', '39S ribosomal protein L46, mitochondrial', 'L46mt', 'P2ECSL', 'LIECG2', 'mitochondrial ribosomal protein L46', 'MRPL46', 'Mitochondrial large ribosomal subunit protein mL46', 'C15orf4']"
36,P56381,"['ATP synthase F1 subunit epsilon', 'ATP synthase subunit epsilon, mitochondrial', 'ATPase subunit epsilon', 'ATP5E', 'MC5DN3', 'ATPE', 'ATP5F1E']"
37,Q00325,"['OK/SW-cl.48', 'Phosphate carrier protein, mitochondrial', 'PTP', 'Phosphate transport protein', 'PHC', 'solute carrier family 25 member 3', 'SLC25A3', 'Solute carrier family 25 member 3']"
38,Q9Y3D9,"['Mitochondrial small ribosomal subunit protein mS23', 'CGI-138', 'MRP-S23', 'COXPD46', '28S ribosomal protein S23, mitochondrial', 'HSPC329', 'S23mt', 'mitochondrial ribosomal protein S23', 'MRPS23']"
39,P07954,"['Fumarate hydratase, mitochondrial', 'MCL', 'MCUL1', 'FH', 'fumarate hydratase', 'HLRCC', 'HsFH', 'EC 4.2.1.2', 'Fumarase', 'LRCC', 'FMRD']"
40,Q10713,"['Inactive zinc metalloprotease alpha', 'SCAR2', 'CLA1', 'INPP5E', 'peptidase, mitochondrial processing subunit alpha', 'Mitochondrial-processing peptidase subunit alpha', 'Alpha-MPP', 'CPD3', 'PMPCA', 'P-55']"
41,P06576,"['EC 7.1.2.2', 'ATP synthase F1 subunit beta', 'HEL-S-271', 'ATP5B', 'ATP synthase subunit beta, mitochondrial', 'ATPMB', 'ATPSB', 'ATP5F1B']"
42,Q5VUM1,"['SDHAF4', 'SDH assembly factor 4', 'Succinate dehydrogenase assembly factor 4, mitochondrial', 'succinate dehydrogenase complex assembly factor 4', 'C6orf57', 'Sdh8']"
43,Q9UDW1,"['Cytochrome b-c1 complex subunit 9', 'HSPC119', 'HSPC151', 'QCR9', 'ubiquinol-cytochrome c reductase, complex III subunit X', 'Complex III subunit X', 'Cytochrome c1 non-heme 7 kDa protein', 'Complex III subunit 9', 'Ubiquinol-cytochrome c reductase complex 7.2 kDa protein', 'UQCR10', 'UCCR7.2', 'HSPC051', 'UCRC']"
44,Q9BUE6,"['ISA1', 'HESB-like domain-containing protein 2', 'ISCA1', 'iron-sulfur cluster assembly 1', 'MMDS5', 'hIscA', 'HBLD2', 'Iron-sulfur assembly protein IscA', 'Iron-sulfur cluster assembly 1 homolog, mitochondrial']"
45,Q9P2R7,"['MTDPS5', 'A-BETA', 'Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial', 'succinate-CoA ligase ADP-forming subunit beta', 'Succinyl-CoA synthetase beta-A chain', 'SCS-betaA', 'EC 6.2.1.5', 'LINC00444', 'A-SCS', 'ATP-specific succinyl-CoA synthetase subunit beta', 'SUCLA2']"
46,Q9NZJ6,"['DHHBMT', 'coenzyme Q3, methyltransferase', '3-demethylubiquinol 3-O-methyltransferase', 'Ubiquinone biosynthesis O-methyltransferase, mitochondrial', 'EC 2.1.1.114', 'DHHBMTASE', 'UG0215E05', 'COQ3', 'bA9819.1', 'Polyprenyldihydroxybenzoate methyltransferase', 'EC 2.1.1.64']"
47,Q9NSE4,"['Isoleucine--tRNA ligase, mitochondrial', 'IleRS', 'isoleucyl-tRNA synthetase 2, mitochondrial', 'Isoleucyl-tRNA synthetase', 'ILERS', 'CAGSSS', 'IARS2', 'EC 6.1.1.5']"
48,P82914,"['28S ribosomal protein S15, mitochondrial', 'MRP-S15', 'MRPS15', 'MPR-S15', 'DC37', 'Mitochondrial small ribosomal subunit protein uS15m', 'mitochondrial ribosomal protein S15', 'RPMS15', 'S15mt']"
49,P50213,"['IDH3A', '-', 'Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial', 'Isocitric dehydrogenase subunit alpha', 'NAD(+)-specific ICDH subunit alpha', 'isocitrate dehydrogenase (NAD(+)) 3 catalytic subunit alpha', 'EC 1.1.1.41']"
50,Q9Y6N1,"['COX11', 'Cytochrome c oxidase assembly protein COX11, mitochondrial', 'COX11P', 'cytochrome c oxidase copper chaperone COX11']"
51,Q16134,"['ETF dehydrogenase', 'ETF-ubiquinone oxidoreductase', 'MADD', 'Electron transfer flavoprotein-ubiquinone oxidoreductase, mitochondrial', 'electron transfer flavoprotein dehydrogenase', 'ETF-QO', 'ETFQO', 'Electron-transferring-flavoprotein dehydrogenase', 'EC 1.5.5.1', 'ETFDH']"
52,P62072,"['Mitochondrial import inner membrane translocase subunit Tim10', 'TIMM10', 'TIM10', 'TIMM10A', 'TIM10A', 'translocase of inner mitochondrial membrane 10']"
53,Q9BQ48,"['mitochondrial ribosomal protein L34', 'Mitochondrial large ribosomal subunit protein bL34m', '39S ribosomal protein L34, mitochondrial', 'L34mt', 'MRPL34', 'MRP-L34']"
54,Q5T653,"['mitochondrial ribosomal protein L2', 'L2mt', 'MRP-L14', 'MRP-L2', 'CGI-22', 'Mitochondrial large ribosomal subunit protein uL2m', '39S ribosomal protein L2, mitochondrial', 'RPML14', 'MRPL2']"
55,P12694,"['MSU', 'Branched-chain alpha-keto acid dehydrogenase E1 component alpha chain', 'BCKDH E1-alpha', 'BCKDHA', '2-oxoisovalerate dehydrogenase subunit alpha, mitochondrial', 'branched chain keto acid dehydrogenase E1 subunit alpha', 'OVD1A', 'BCKDE1A', 'MSUD1', 'EC 1.2.4.4']"
56,P07919,"['Complex III subunit 6', 'UQCR8', 'Ubiquinol-cytochrome c reductase complex 11 kDa protein', 'UQCRH', 'Complex III subunit VIII', 'Cytochrome b-c1 complex subunit 6, mitochondrial', 'QCR6', 'Mitochondrial hinge protein', 'Cytochrome c1 non-heme 11 kDa protein', 'ubiquinol-cytochrome c reductase hinge protein']"
57,Q9BW72,"['RCF1b', 'HIGD2A', 'RCF1 homolog B', 'HIG1 hypoxia inducible domain family member 2A', 'HIG1 domain family member 2A, mitochondrial']"
58,P48047,"['ATP5PO', 'Oligomycin sensitivity conferral protein', 'OSCP', 'ATP synthase peripheral stalk subunit OSCP', 'ATPO', 'ATP5O', 'ATP synthase subunit O, mitochondrial', 'HMC08D05']"
59,P30084,"['ECHS1D', 'SCEH', 'enoyl-CoA hydratase, short chain 1', 'EC 4.2.1.17', 'ECHS1', 'Enoyl-CoA hydratase 1', 'Enoyl-CoA hydratase, mitochondrial', 'Short-chain enoyl-CoA hydratase']"
60,Q6P1Q0,"['HCRR-2', 'SLC55A3', 'HCCR-2', 'LETMD1', 'HCCR2', 'Cervical cancer 1 proto-oncogene protein p40', '1110019O13Rik', 'LETM1 domain-containing protein 1', 'Cervical cancer proto-oncogene 2 protein', 'HCCR1', 'LETM1 domain containing 1', 'HCCR', 'HCCR-1']"
61,P12074,"['Cytochrome c oxidase subunit 6A1, mitochondrial', 'COX6AL', 'COX6A', 'COX6A1', 'Cytochrome c oxidase polypeptide VIa-liver', 'Cytochrome c oxidase subunit VIA-liver', 'CMTRID', 'COX VIa-L', 'cytochrome c oxidase subunit 6A1']"
62,Q7KZN9,"['COX15', 'cytochrome c oxidase assembly homolog COX15', 'Cytochrome c oxidase assembly protein COX15 homolog', 'CEMCOX2']"
63,Q9Y4W6,"['AFG3 like matrix AAA peptidase subunit 2', 'EC 3.4.24.-', 'AFG3L2', 'OPA12', 'Paraplegin-like protein', 'SPAX5', 'AFG3-like protein 2', 'SCA28']"
64,P40939,"['LCEH', 'Trifunctional enzyme subunit alpha, mitochondrial', 'Long chain 3-hydroxyacyl-CoA dehydrogenase', 'TP-ALPHA', 'EC 2.3.1.-', 'MTPA', 'GBP', 'TP-alpha', '78 kDa gastrin-binding protein', 'EC 4.2.1.17', 'Long-chain enoyl-CoA hydratase', 'LCHAD', 'Monolysocardiolipin acyltransferase', 'ECHA', 'hydroxyacyl-CoA dehydrogenase trifunctional multienzyme complex subunit alpha', 'HADH', 'HADHA', 'EC 1.1.1.211']"
65,P13804,"['MADD', 'EMA', 'Electron transfer flavoprotein subunit alpha, mitochondrial', 'electron transfer flavoprotein subunit alpha', 'ETFA', 'Alpha-ETF', 'GA2']"
66,O75251,"['NDUFS7', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial', 'Complex I-20kD', 'CI-20', 'PSST', 'NADH:ubiquinone oxidoreductase core subunit S7', 'EC 7.1.1.2', 'MY017', 'NADH-ubiquinone oxidoreductase 20 kDa subunit', 'CI-20kD', 'MC1DN3', 'PSST subunit', 'CI-20KD']"
67,P23786,"['EC 2.3.1.21', 'Carnitine palmitoyltransferase II', 'carnitine palmitoyltransferase 2', 'CPT II', 'IIAE4', 'CPT2', 'Carnitine O-palmitoyltransferase 2, mitochondrial', 'CPTASE', 'CPT1']"
68,P21953,"['BCKDH E1-beta', 'E1B', 'BCKDE1B', '2-oxoisovalerate dehydrogenase subunit beta, mitochondrial', 'Branched-chain alpha-keto acid dehydrogenase E1 component beta chain', 'branched chain keto acid dehydrogenase E1 subunit beta', 'BCKDHB', 'EC 1.2.4.4']"
69,O43837,"['Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial', 'Isocitric dehydrogenase subunit beta', 'IDH3B', 'NAD(+)-specific ICDH subunit beta', 'isocitrate dehydrogenase (NAD(+)) 3 non-catalytic subunit beta', 'RP46']"
70,Q15031,"['LeuRS', 'HLASA', 'mtLeuRS', 'Leucyl-tRNA synthetase', 'Probable leucine--tRNA ligase, mitochondrial', 'EC 6.1.1.4', 'LARS2', 'LEURS', 'leucyl-tRNA synthetase 2, mitochondrial', 'PRLTS4']"
71,P16219,"['acyl-CoA dehydrogenase short chain', 'Short-chain specific acyl-CoA dehydrogenase, mitochondrial', 'EC 1.3.8.1', 'Butyryl-CoA dehydrogenase', 'ACAD3', 'SCAD', 'ACADS']"
72,O95202,"['leucine zipper and EF-hand containing transmembrane protein 1', 'LETM1', 'Mitochondrial proton/calcium exchanger protein', 'Leucine zipper-EF-hand-containing transmembrane protein 1', 'SLC55A1']"
73,P56385,"['ATP5I', 'ATP5ME', 'ATP5K', 'ATP synthase membrane subunit e', 'ATP synthase subunit e, mitochondrial', 'ATP synthase subunit e, mitochondrial, N-terminally processed', 'ATPase subunit e']"
74,O60313,"['OPA1', 'NTG', 'BERHS', 'MGM1', 'largeG', 'OPA1 mitochondrial dynamin like GTPase', 'Dynamin-like 120 kDa protein, mitochondrial', 'NPG', 'Dynamin-like 120 kDa protein, form S1', 'Optic atrophy protein 1', 'MTDPS14', 'EC 3.6.5.5']"
75,Q13825,"['EC 4.2.1.18', 'AU RNA binding methylglutaconyl-CoA hydratase', '-', 'AU-binding protein/enoyl-CoA hydratase', 'Methylglutaconyl-CoA hydratase, mitochondrial', 'EC 4.2.1.56', 'Itaconyl-CoA hydratase', 'AUH', 'AU-specific RNA-binding enoyl-CoA hydratase']"
76,P53597,"['Succinate--CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial', 'succinate-CoA ligase GDP/ADP-forming subunit alpha', 'Succinyl-CoA synthetase subunit alpha', 'SUCLG1', 'MTDPS9', 'GALPHA', 'EC 6.2.1.4', 'EC 6.2.1.5', 'SUCLA1', 'SCS-alpha']"
77,P19404,"['NDUFV2', 'CI-24k', 'EC 7.1.1.2', 'NADH:ubiquinone oxidoreductase core subunit V2', 'MC1DN7', 'NADH dehydrogenase [ubiquinone] flavoprotein 2, mitochondrial', 'NADH-ubiquinone oxidoreductase 24 kDa subunit']"
78,Q9Y2Z9,"['COQ10D6', 'CGI-10', 'EC 1.14.13.-', 'CGI10', 'COQ6', 'coenzyme Q6, monooxygenase', 'Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial', 'Coenzyme Q10 monooxygenase 6']"
79,Q8N983,"['L43mt', 'MRP-L43', 'bMRP36a', '39S ribosomal protein L43, mitochondrial', 'Mitochondrial large ribosomal subunit protein mL43', 'mitochondrial ribosomal protein L43', 'Mitochondrial ribosomal protein bMRP36a', 'MRPL43']"
80,Q8NFV4,"['Protein ABHD11', 'Alpha/beta hydrolase domain-containing protein 11', 'EC 3.-.-.-', 'PP1226', 'Williams-Beuren syndrome chromosomal region 21 protein', 'WBSCR21', 'abhydrolase domain containing 11', 'ABHD11', 'Abhydrolase domain-containing protein 11']"
81,P18859,"['ATPase subunit F6', 'CF6', 'ATP5A', 'ATP5J', 'ATP synthase peripheral stalk subunit F6', 'ATPM', 'ATP synthase-coupling factor 6, mitochondrial', 'ATP5PF', 'F6', 'ATP5']"
82,O95169,"['CI-ASHI', 'NADH-ubiquinone oxidoreductase ASHI subunit', 'Complex I-ASHI', 'NADH:ubiquinone oxidoreductase subunit B8', 'ASHI', 'MC1DN32', 'NDUFB8', 'NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 8, mitochondrial']"
83,P36776,"['LONP', 'PRSS15', 'hLON', 'PIM1', 'LonHS', 'Lon protease homolog, mitochondrial', 'lon peptidase 1, mitochondrial', 'EC 3.4.21.53', 'Serine protease 15', 'CODASS', 'Lon protease-like protein', 'LON', 'LONP1', 'LONHs', 'Mitochondrial ATP-dependent protease Lon']"
84,P09622,"['LAD', 'Dihydrolipoyl dehydrogenase, mitochondrial', 'dihydrolipoamide dehydrogenase', 'DLDD', 'EC 1.8.1.4', 'OGDC-E3', 'DLD', 'Glycine cleavage system L protein', 'GCSL', 'PHE3', 'DLDH', 'E3', 'Dihydrolipoamide dehydrogenase']"
85,O95831,"['NAMSD', 'NADMR', 'DFNX5', 'COXPD6', 'AIF', 'Programmed cell death protein 8', 'EC 1.6.99.-', 'apoptosis inducing factor mitochondria associated 1', 'CMTX4', 'COWCK', 'AIFM1', 'AUNX1', 'CMT2D', 'SEMDHL', 'Apoptosis-inducing factor 1, mitochondrial', 'PDCD8']"
86,Q96DC8,"['ECHDC3', 'enoyl-CoA hydratase domain containing 3', '-', 'Enoyl-CoA hydratase domain-containing protein 3, mitochondrial']"
87,Q6UXV4,"['Mic27', 'UNQ8193', 'MICOS complex subunit MIC27', 'apolipoprotein O like', 'FAM121A', 'Protein FAM121A', 'Apolipoprotein O-like', 'APOOL', 'MICOS27', 'CXorf33']"
88,Q7Z7H8,"['MRP-L8', 'RPML8', 'L8mt', '39S ribosomal protein L8, mitochondrial', 'mitochondrial ribosomal protein L10', 'L10mt', 'MRP-L10', 'Mitochondrial large ribosomal subunit protein uL10m', 'MRPL8', 'L10MT', '39S ribosomal protein L10, mitochondrial', 'MRPL10']"
89,Q96E11,"['Ribosome-recycling factor, mitochondrial', 'MTRRF', 'mitochondrial ribosome recycling factor', 'MRRF', 'MRFF', 'RRF', 'Ribosome-releasing factor, mitochondrial']"
90,O00217,"['CI23KD', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 8, mitochondrial', 'Complex I-23kD', 'EC 7.1.1.2', 'CI-23k', 'TYKY', 'NADH-ubiquinone oxidoreductase 23 kDa subunit', 'NADH:ubiquinone oxidoreductase core subunit S8', 'TYKY subunit', 'MC1DN2', 'CI-23kD', 'NDUFS8']"
91,P11310,"['Medium-chain specific acyl-CoA dehydrogenase, mitochondrial', 'EC 1.3.8.7', 'MCAD', 'Medium chain acyl-CoA dehydrogenase', 'MCADH', 'ACADM', 'ACAD1', 'acyl-CoA dehydrogenase medium chain']"
92,Q16891,"['inner membrane mitochondrial protein', 'PIG52', 'P87', 'MICOS60', 'HMP', 'PIG4', 'P87/89', 'Mitofilin', 'Mitochondrial inner membrane protein', 'MICOS complex subunit MIC60', 'P89', 'IMMT', 'Cell proliferation-inducing gene 4/52 protein', 'Mic60', 'MINOS2', 'p87/89']"
93,Q9Y5J7,"['translocase of inner mitochondrial membrane 9', 'TIMM9', 'TIM9', 'Mitochondrial import inner membrane translocase subunit Tim9', 'TIM9A']"
94,P12235,"['PEO2', 'Solute carrier family 25 member 4', 'AAC1', 'ADP,ATP carrier protein, heart/skeletal muscle isoform T1', 'ANT', 'ANT1', 'SLC25A4', 'PEOA2', 'PEO3', 'Adenine nucleotide translocator 1', 'MTDPS12A', 'ADP,ATP carrier protein 1', 'MTDPS12', 'solute carrier family 25 member 4', 'ANT 1', 'ADP/ATP translocase 1', 'T1']"
95,Q9Y512,"['OMP85', 'TOB55', 'Sorting and assembly machinery component 50 homolog', 'CGI-51', 'TRG-3', 'YNL026W', 'SAMM50', 'SAM50', 'Transformation-related gene 3 protein', 'SAMM50 sorting and assembly machinery component']"
96,O75306,"['NADH-ubiquinone oxidoreductase 49 kDa subunit', 'Complex I-49kD', 'MC1DN6', 'EC 7.1.1.2', 'CI-49kD', 'CI-49', 'NADH:ubiquinone oxidoreductase core subunit S2', 'NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial', 'NDUFS2']"
97,P49821,"['Complex I-51kD', 'NDUFV1', 'CI-51kD', 'CI51KD', 'NADH dehydrogenase flavoprotein 1', 'NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial', 'MC1DN4', 'EC 7.1.1.2', 'UQOR1', 'NADH:ubiquinone oxidoreductase core subunit V1', 'CI-51K', 'NADH-ubiquinone oxidoreductase 51 kDa subunit']"
98,Q99798,"['Aconitate hydratase, mitochondrial', 'EC 4.2.1.3', 'ACONM', 'HEL-S-284', 'OPA9', 'OCA8', 'ACO2', 'Aconitase', 'Citrate hydro-lyase', 'ICRD', 'aconitase 2']"
