Cluster ID,,Cluster name,Size,Cluster members,Organisms,Length,Identity,Organism IDs
UniRef90_Q5U5X0,partially reviewed and UniParc,Cluster: Complex III assembly factor LYRM7,10,Q5U5X0; H2QRF7; A0A6D2WJC3; A0A2R9AT14; G3R8G9; A0A2K5V8X1; A0A2R9AT27; A0A2I2YXU0; G7P872; UPI0004BDD6A0,Homo sapiens (Human); Pan troglodytes (Chimpanzee); Pan paniscus (Pygmy chimpanzee) (Bonobo); Gorilla gorilla gorilla (Western lowland gorilla); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey); Equus przewalskii (Przewalski's horse) (Equus caballus przewalskii),104,90%,9606; 9598; 9597; 9595; 9541; 9798
UniRef90_P43155,partially reviewed and UniParc,Cluster: Carnitine O-acetyltransferase,210,P43155; L9KLJ3; A0A5F5PJJ5; A0A2K6NVZ4; A0A0D9RPX1; A0A2I3RYT6; A0A2J8NB36; F7HQL4; A0A2K5RKR6; B0KWF0; A6MKB0; A0A1U7T7T4; A0A2K5TZN7; A0A2J8UJK1; A0A2I2Y8W4; B5SNJ0; U3EDS5; I3LYP1; A0A2U3ZHN8; A0A6J3RKW8; U3F4U1; A0A3Q1LYY4; A0A4W2CU46; A0A6J2ETZ0; A0A6J2EXK9; A0A287D2U7; A0A2F0BF52; A0A286ZRC3; G3RRT6; I0FJJ0; A0A2Y9H647; A0A2J8UJL1; A0A5J5MGS6; A0A3Q7UCT6; A0A2I2UP24; A0A3Q2HIU6; A0A2K6S366; A0A5E4ANW3; A0A6P7DV36; A0A6P7DUI4; G1MBW9; B1MTH5; A0A6J1XF97; G1S7C3; A0A2Y9NMW7; C1FXV6; A0A7J7UN79; A0A2U3VD61; A0A2U3VD71; A0A6J0VZK2; J9P075; A0A2K5RKP4; B2KI80; A0A3Q7TIU4; A0A3Q7QCM5; A0A3L7HFW5; H2QY07; A0A6D2WAL7; A0A2R8ZEK7; A0A667HZV2; A0A7N5KBU2; D2H159; A0A3Q7QFJ0; A0A6J3G5S4; A0A4W2FSW1; A0A2K5F2D5; A0A6P5CNS9; A0A2K6MJX9; M3YNG1; A0A384B4M2; A0A6P4TSC7; Q08DN5; A0A4W2EI63; A0A6P4TT31; E2RQL6; A0A2K5KBV5; A0A2Y9J9Z8; A0A6J1XF94; A0A2Y9JHU5; A0A6P7DTW8; W5PGA4; A0A2Y9HBL3; A0A671G9G0; A0A6G1ASD9; A0A6B0RXY3; A0A667J0E2; A0A4X1TLG7; A0A452ET92; A0A6I9IAK0; A0A3Q2HMG4; A0A250Y3L1; A0A6J2EPY6; A0A4W2FS14; A0A2K6NVZ5; A0A2K6EY19; A0A2Y9EJ31; A0A5E4AP27; A0A5F5Y5C0; A0A6I9J5Z7; A0A7N9DCS1; A0A5N3WEH6; I2CT57; A0A2K5N775; A0A341CT48; A0A341CSS7; G3TH60; A0A7J8IGW4; M1EPF5; U6D8K5; A0A2K5XHC9; G7PRD9; P43155-2; B7ZBP5; A0A5E4APL4; Q2LDK0; UPI000FFF9180; UPI000642ABFA; UPI00083BCF20; UPI00083BD874; UPI000DC15C51; UPI0005334C86; UPI00063EFCE9; UPI0001773022; UPI00045DE7B7; UPI0013633CF1; UPI00136342B5; UPI00141AD2CD; UPI00141AD9DD; UPI000CEFEE3B; UPI00020E3910; UPI0006254706; UPI00159D5C33; UPI0012AE1FF4; UPI0012ADB1A7; UPI0005F398C0; UPI0005F4FF7D; UPI00122DA49E; UPI00122D541D; UPI0002233E03; UPI0008F54AAE; UPI0008F46E67; UPI0007DC7B62; UPI0006441B7F; UPI000C7F5A8A; UPI001ADF8063; UPI001AD6E592; UPI00032B01A8; UPI00032B17CF; UPI000762ABF9; UPI00156C39C2; UPI001386BCCF; UPI001386BF87; UPI0013623E9B; UPI0013A627C1; UPI00038BF87D; UPI00071A9600; UPI001A9BDBA7; UPI0018E29703; UPI0013F35198; UPI001876D590; UPI001395F9CB; UPI001658F038; UPI001875AABC; UPI000D185607; UPI000812C963; UPI00189FAD8E; UPI00057BC095; UPI001B348BA3; UPI001B3476EF; UPI0012AD8BBC; UPI0019249C30; UPI0008136A15; UPI001873D6AE; UPI0004BDCCB9; UPI001155881F; UPI0007195778; UPI001920785A; UPI0004D09F45; UPI001A9AF62E; UPI001A9BEBBE; UPI0016592751; UPI00141BE47A; UPI001155552F; UPI000E55B3C4; UPI001AD677A2; UPI00062AB9BE; UPI0018E3386B; UPI001263AB5E; UPI00189D20E5; UPI00062B99C7; UPI0013F2BAF7; UPI00045DBAA6; UPI00193D5B00; UPI00045D5F78; UPI00122DBC20; UPI001ADED903; UPI0002C64DF8; UPI0003EC5A03; UPI0003AFE24D; UPI0012613CC0; UPI001873CCD2; UPI000343FF07; UPI0003F127E9; UPI0005F41207; UPI0005F589CD; UPI0003AB9C93; UPI0003ABA499; UPI000387DE79; UPI000FFF7F03; UPI000703C341,Homo sapiens (Human); Tupaia chinensis (Chinese tree shrew); Equus caballus (Horse); Rhinopithecus roxellana (Golden snub-nosed monkey) (Pygathrix roxellana); Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus); Pan troglodytes (Chimpanzee); Macaca mulatta (Rhesus macaque); Cebus imitator (Panamanian white-faced capuchin) (Cebus capucinus imitator); Callithrix jacchus (White-tufted-ear marmoset); Carlito syrichta (Philippine tarsier) (Tarsius syrichta),626,90%,9606; 246437; 9796; 61622; 60711; 9598; 9544; 2715852; 9483; 1868482; 9541; 9601; 9595; 30611; 43179; 9708; 9739; 9913; 30522; 9704; 9764; 9823; 29088; 9886; 9627; 9685; 39432; 9995; 9940; 9646; 9523; 32536; 61853; 9749; 9361; 51298; 9880; 9615; 59479; 34884; 10029; 9597; 61383; 9515; 37293; 9915; 61621; 9669; 310752; 9691; 336983; 391180; 9678; 72004; 9925; 30538; 51338; 379532; 9755; 185453; 9888; 9531; 1706337; 9785; 9407; 452646; 9568; 9999; 93162; 30608; 9565; 81572; 54180; 9555; 29073; 1608482; 9978; 9994; 9715; 36723; 419612; 79684; 9793; 59534; 1047088; 76717; 143292; 9720; 9711; 9771; 9430; 9974; 27675; 9838; ; 95912; 9798; 37032; 73337; 482537; 9733; 1230840; 225400; 35658; 9402
UniRef90_P05166,partially reviewed and UniParc,"Cluster: Propionyl-CoA carboxylase beta chain, mitochondrial",220,P05166; Q99MN9; Q2TBR0; P79384; A0A340XF32; Q8WVH4; A0A4U1EEQ6; A0A4U1EEL8; A0A2K5KWW7; A0A2I3GN11; G7NXX6; A0A2K5JVI3; G7MJQ2; A0A2I3LLJ1; A0A2K5UA49; A0A2K6B7E1; A0A2I2YQP9; A0A2I3RUA8; A0A6D2YAT4; A0A2R9BP68; E7EX59; A0A2J8S266; A0A2K5Z947; A0A667HTL7; A0A485P8C2; F7DJ09; G5C835; G1QV70; A0A2J8S291; A0A2K5KX04; A0A4W2IG47; H2QNF5; A0A6D2X6X8; A0A2R9BUI2; A0A2K5Z967; A0A096MWL0; A0A2K6B7I1; G3QRT0; C9JQS9; P05166-2; A0A4W2F0M7; C7DLM8; A0A1B2JLU8; A0A452FH10; A0A2K5UA23; A0A452FGU5; A0A2K6PAY7; A0A2K6MSE2; A0A452FHH2; A0A2J8S254; A0A2J8S280; A0A6D2WQD6; A0A2I3TN28; A0A2J8QJ90; A0A2K6PAX5; A0A2I2YT25; A0A2I3GQM4; A0A2R9BKM1; W5PDK7; E9PDR0; Q59GV0; A0A452FGM5; A0A667HTN4; A0A2I2UUA1; A0A2K5U9Z3; A0A7N5K9J3; A0A6B0R1C7; A0A4W2II64; I3MLY9; A0A2Y9DUH3; A0A2K5D5V9; A0A4W2H2A2; A0A4W2GZC3; A0A7J8DCW0; A0A2K5JVK4; A0A2K5UA05; A0A4W2DYK2; Q7TMF4; A0PJE6; A0A2Y9NW67; Q8CFZ3; A0A2U4B970; A0A484GLL7; Q68FZ8; A0A452FHL8; A0A2K5Z8V0; A0A452UIG4; A0A383Z5P5; A0A2Y9EGZ3; A0A452DIR0; A0A341BIK8; A0A6P6H2F9; A0A6P6H1G9; A0A2U3X952; A0A0P6JGF2; A0A5F5PN28; A0A4W2F0M2; A0A2K6UTU7; A0A2K5KWM6; A0A384DI59; A0A3Q7UVY1; A0A2Y9G6A7; L5KZW0; A0A250Y2R4; G1TTK6; H9Z0X6; Q4R4H9; A0A2K6B7A9; A0A6J3GUZ1; D2HQR8; A0A6I9ZWW9; A0A0D9REQ7; A0A6I9IMJ9; A0A673TX60; K9ILA9; A0A2K5JVF2; A0A6P3E0I4; Q5R5K9; A0A6D2WXS5; A0A2Y9KN19; A0A6P3R528; A0A2K6MSC0; A0A6J0YW29; A0A7J8HT94; A0A6P3IYI6; A0A6P3EWX5; A0A2R8MZQ1; A0A3Q7PV21; H0WUZ7; A0A6J2CIM6; A0A6J2CH54; K6ZZR2; A0A2R9BKF2; A0A2I3S670; A0A6P4V4I8; A0A6J2M822; A0A6P5BWK2; A0A286XQZ3; A0A2K6UU62; A0A5G2R785; G9KFC5; A0A5E4AXR8; UPI000DC169CD; UPI0011B004AE; UPI0005F476F5; UPI0012AD5840; UPI00034F76ED; UPI00034FAECC; UPI0007DBD42A; UPI00123EAA28; UPI000333B5C6; UPI001AEFD817; UPI000D5340E6; UPI00046B9B85; UPI00189DD155; UPI0003EC4BFC; UPI0003F08D4D; UPI000328C86F; UPI0005123650; UPI001746A35C; UPI0010F66CD5; UPI0010A0B16C; UPI0002BCEC62; UPI000F4406FB; UPI0013F2FC10; UPI0012620753; UPI001485FB33; UPI0013C3F562; UPI001873E788; UPI00156BF5A0; UPI0013963408; UPI00193D9BF4; UPI0007A6D152; UPI00156BEB0C; UPI0007624013; UPI000F38E960; UPI00053349D5; UPI00064312C7; UPI001659E3F7; UPI0016596E05; UPI0004BDF261; UPI000E55B948; UPI001B34EECD; UPI001B352A54; UPI0002C667BE; UPI00025DD859; UPI0010A1F042; UPI000A30A10D; UPI00057B1121; UPI00053F78C4; UPI00057BC720; UPI000DC15CAD; UPI00020AC2DC; UPI00062574A0; UPI001920FB4C; UPI001890112E; UPI00017973A9; UPI00141AC337; UPI0003C90095; UPI000EAAE63F; UPI0018E35015; UPI00038EDDBE; UPI00196B9F29; UPI0003347FC1; UPI0013F321C5; UPI001A9ADAC6; UPI000766357F; UPI00071A6BC0; UPI0003C8A41C; UPI000DBC646B; UPI00167FBDFE; UPI000847336D; UPI0001FA1528; UPI00123E5A82; UPI00136444A9; UPI0004ED4AA1; UPI00111C07C6; UPI000C8113A5; UPI0003445B60; UPI000FFF6D32,Homo sapiens (Human); Mus musculus (Mouse); Bos taurus (Bovine); Sus scrofa (Pig); Lipotes vexillifer (Yangtze river dolphin); Monodon monoceros (Narwhal) (Ceratodon monodon); Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys); Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey); Colobus angolensis palliatus (Peters' Angolan colobus),539,90%,9606; 10090; 9913; 9823; 118797; 40151; 9531; 61853; 9541; 336983; 9544; 9555; 9545; 9595; 9598; 9597; 9601; 9568; 61383; 191816; 10181; 30522; 9940; 9925; 61622; 61621; 9685; 9646; 72004; 43179; 127582; 37293; 27622; 9749; 9739; 103600; 10116; 29073; 310752; 9755; 1706337; 9696; 9713; 9796; 39432; 116960; 29088; 9402; 51338; 9986; 9515; 32536; 60711; 30538; 37032; 9430; 391180; 132908; 9880; 9407; 43346; 10160; 9483; 34884; 30611; 9704; 9691; 89673; 9915; 10141; 9669; 9995; 9565; 9371; 10036; 29078; 27675; 225400; 28737; 9361; 491861; 9733; 90247; 10117; 35658; 61156; 42100; 9771; 9715; 9720; 291302; 9994; 10029; 30608; 9711; 9798; 9999; ; 73337; 10041; 10093; 9837; 885580; 9838; 95912; 50954; 54180; 246437; 79684; 1047088; 34839; 143291; 143302; 76717; 59534; 74533; 9793; 419612; 89462; 38674; 81572; 1026970; 9785; 93162
UniRef90_Q9Y2R9,partially reviewed and UniParc,"Cluster: 28S ribosomal protein S7, mitochondrial",18,Q9Y2R9; A0A024R8L0; A0A2K5EFE1; F7DH41; G7NGP3; A0A2K6B0L8; G3QXD3; A0A0D9QXG7; G7PVD9; A0A2K5VCP7; A0A2I3N5C1; H2QDV1; A0A6D2WQ29; A0A2R8ZN53; UPI000DC15AD9; UPI000C2A38C0; UPI00141B76EA; UPI0012AEA438,Homo sapiens (Human); Aotus nancymaae (Ma's night monkey); Macaca mulatta (Rhesus macaque); Macaca nemestrina (Pig-tailed macaque); Gorilla gorilla gorilla (Western lowland gorilla); Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey); Papio anubis (Olive baboon); Pan troglodytes (Chimpanzee); Pan paniscus (Pygmy chimpanzee) (Bonobo),242,90%,9606; 37293; 9544; 9545; 9595; 60711; 9541; 9555; 9598; 9597; 9565; 591936; 54180
UniRef90_P09001,partially reviewed and UniParc,"Cluster: 39S ribosomal protein L3, mitochondrial",61,P09001; E7ETU7; D6RC14; A0A2J8QIQ8; Q96Q75; B4DW56; A0A2I3RSX7; A0A6D2XT88; A0A2R8ZF57; A0A2J8U3M5; A0A2J8U3N4; B4DKM0; G3R6A6; A0A2K5Y7H8; A0A2K6DUD4; A0A7N9IDM1; A0A2I3LX46; A0A2K5MWH0; A0A2K5II34; G1QRG1; A0A2K6QXW7; A0A2K6L613; A0A0D9RDQ0; A0A2J8U3M0; G3SD27; A0A096MVU3; A0A2I3H315; F6XHQ0; I7GKE3; G7MJS3; A0A2K5WA52; A0A2R8ZLM9; A0A2K6L610; H2QND8; A0A6D2WVZ9; A0A2K6DUE1; A0A2K6QXZ0; A0A2K5Y7G5; G2HDU9; A0A2K5MWF5; A0A2K5II30; H2PBF6; G7NXZ9; A0A2I3RJH0; A0A2R9B5C6; UPI001ADB01ED; UPI00109337EF; UPI0011137294; UPI0000D579D4; UPI00020E321E; UPI00027468A8; UPI000D0A2B82; UPI0004F1F8E9; UPI000DC1BA37; UPI0005331876; UPI000DC1668C; UPI00141AAAD7; UPI00141AE8EB; UPI001362ECF9; UPI000C2A1DF0; UPI0015603750,Homo sapiens (Human); Pan troglodytes (Chimpanzee); Pan paniscus (Pygmy chimpanzee) (Bonobo); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Gorilla gorilla gorilla (Western lowland gorilla); Mandrillus leucophaeus (Drill) (Papio leucophaeus); Macaca nemestrina (Pig-tailed macaque); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey); Papio anubis (Olive baboon); Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys),348,90%,9606; 9598; 9597; 9601; 9595; 9568; 9545; 9541; 9555; 9531; 336983; 61853; 61622; 61621; 60711; 9544; 1280; 470; 9913; 9565; 54180; 81572; 591936
UniRef90_O43272,partially reviewed and UniParc,"Cluster: Proline dehydrogenase 1, mitochondrial",47,O43272; X5D7N2; O43272-2; A0A481ZHW6; A0A087WWM6; C9JIW4; E7EQL6; A0A2K5M752; A0A2K5M792; A0A2K6DGW3; A0A7N9CNQ0; A0A2J8R027; A0A2J8R034; A0A2J8R030; A0A2J8Q246; A0A2J8Q261; A0A2J8Q262; A0A2J8Q241; H9F2R9; A0A2K5I2Q4; A0A2K6DGY5; A0A2K5M772; O43272-1; A0A2K5YLM8; H2P526; UPI00117ACEB4; UPI0007DC5EBB; UPI0013643447; UPI0010A288DF; UPI0005F419EC; UPI0005F3E148; UPI000DC1A503; UPI000DC1A121; UPI0003EAF2FB; UPI0004E4CA58; UPI00122D8256; UPI0012AD8EBD; UPI0012AD4000; UPI001237966C; UPI00123752F5; UPI0005F457DC; UPI001560F773; UPI001560019D; UPI0015606E2F; UPI000D099735; UPI0005F37A5F; UPI0005F4F84D,Homo sapiens (Human); Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys); Macaca nemestrina (Pig-tailed macaque); Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Pan troglodytes (Chimpanzee); Macaca mulatta (Rhesus macaque); Colobus angolensis palliatus (Peters' Angolan colobus); Mandrillus leucophaeus (Drill) (Papio leucophaeus); Klebsiella pneumoniae,600,90%,9606; 9531; 9545; 9541; 9601; 9598; 9544; 336983; 9568; 573; 81572; 9565; 61853; 9555; 61622; 9597
UniRef90_P05165,partially reviewed and UniParc,"Cluster: Propionyl-CoA carboxylase alpha chain, mitochondrial",48,P05165; K7BDW4; A0A2R9BD38; I2CTH4; A0A2J8X8E3; H2Q7R4; G3R9X1; A0A2I2Z958; A0A2R9BGZ8; A0A2I3TKN3; B2RDE0; P05165-2; A0A2I2YP73; A0A2J8M9B0; A0A2R9BH04; A0A2J8X8D7; A0A2I3SIK5; A0A2R9BD60; A0A2J8M9B7; A0A2I2YJZ1; A0A2J8X8C1; A0A2J8X8B8; P05165-3; A0A2I3TQ21; A0A2J8M9C1; A0A2J8X8F7; A0A2J8M9D1; UPI0003E651D4; UPI00136244D6; UPI001361F6DB; UPI001363B5BA; UPI001362F29F; UPI00123E63C6; UPI00123E9E57; UPI001560671C; UPI00155F6118; UPI0013647528; UPI0007DC61FF; UPI0007DC519F; UPI0000EE51F9; UPI0013632DDE; UPI00123E6D83; UPI0013643F1D; UPI00122DC3AF; UPI0007DC6F49; UPI000387BC59; UPI00155F5A78; UPI0000E236A9,Homo sapiens (Human); Pan troglodytes (Chimpanzee); Pan paniscus (Pygmy chimpanzee) (Bonobo); Macaca mulatta (Rhesus macaque); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Gorilla gorilla gorilla (Western lowland gorilla); Hylobates moloch (Silvery gibbon); Nomascus leucogenys (Northern white-cheeked gibbon) (Hylobates leucogenys),728,90%,9606; 9598; 9597; 9544; 9601; 9595; 81572; 61853
UniRef90_Q96RQ3,partially reviewed and UniParc,"Cluster: Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial",11,Q96RQ3; A0A0S2Z693; E9PHF7; F2Z3E2; A0A1U7UFG4; A0A2R9BAH8; A0A2I3TM28; E9PG35; A0A2J8M558; UPI0005D0233B; UPI000387AECC,Homo sapiens (Human); Carlito syrichta (Philippine tarsier) (Tarsius syrichta); Pan paniscus (Pygmy chimpanzee) (Bonobo); Pan troglodytes (Chimpanzee),725,90%,9606; 1868482; 9597; 9598
UniRef90_O15235,partially reviewed and UniParc,"Cluster: 28S ribosomal protein S12, mitochondrial",35,O15235; Q5RB32; A0A024R0H2; A0A2K5MZM5; A0A2K5ZCG8; A0A0C4ZNF0; A0A2K6KK79; A0A2K5H9F8; A0A2K6TEX1; A0A0D9QVA6; A0A0C4ZLY4; A0A2K6P8Y3; A0A2R8M2Y1; A0A2K5EF38; A0A5F8AS78; G7PXI2; A0A2K5VN93; G7NNJ7; A0A0A0MW29; A0A6J3FH76; A0A2K6DEL2; A0A2K5S3F8; A0A6D2VZ60; A0A2J8SDD9; H2QG96; A0A6D2Y4A6; A0A2R9CA13; G3QJ78; UPI0010933800; UPI0005F3ED75; UPI00141BAA64; UPI000C299B87; UPI000DC1877A; UPI00122D536B; UPI0001818C5D,Homo sapiens (Human); Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii); Cercocebus atys (Sooty mangabey) (Cercocebus torquatus atys); Mandrillus leucophaeus (Drill) (Papio leucophaeus); Macaca nemestrina (Pig-tailed macaque); Rhinopithecus bieti (Black snub-nosed monkey) (Pygathrix bieti); Colobus angolensis palliatus (Peters' Angolan colobus); Saimiri boliviensis boliviensis (Bolivian squirrel monkey); Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus); Chlorocebus aethiops (Green monkey) (Cercopithecus aethiops),138,90%,9606; 9601; 9531; 9568; 9545; 61621; 336983; 39432; 60711; 9534; 61622; 9483; 37293; 9544; 9541; 9555; 9515; 2715852; 9598; 9597; 9595; 54180; 591936; 61853
UniRef90_Q9H078,partially reviewed and UniParc,Cluster: Caseinolytic peptidase B protein homolog,251,Q9H078; A0A140VK11; F5H392; A0A2J8PZT7; W5P5H3; A0A6J3RUS4; A0A5F5Q1K5; A0A673UEU9; F7A045; A0A3Q2HL93; A0A6J3RUE6; I3M4U9; G1LG67; D2HWN5; A0A4W2E4F9; A0A4W2IAY9; A0A2K6R685; A0A340XUN7; A0A7J7VH56; F7DLW9; A0A384DFF8; A0A7J7W5T2; G7NE92; A0A5F8ANL2; A0A2K5XK72; A0A2Y9KV63; A0A6G1B0I9; A0A7J8GXE2; A0A6J3RUF3; A0A2F0BEL1; A0A6I9I7I2; A0A2J8V1Z8; A0A2J8V1W0; A0A6P3HYZ9; A0A2J8PZS7; A0A2K6UC25; A0A6J3GA49; L8INN0; A0A3Q7QTV9; G1P3T8; A0A2K6K9Y5; G7PR16; G3QTB6; H0XD26; A0A2U3VBC2; A0A484GSG1; A0A7J8EPF5; Q4R629; A0A7N9CGQ8; A0A6J1XSV9; A0A6P6I7B4; A0A5F9DAJ7; M3W3W0; A0A6P4WCS1; A0A667GZC1; A0A5F5PH87; A0A6J3RUP2; A0A2K5RLX7; A0A6J3RUT4; A0A2U3TZY2; A0A7J8GXL2; A0A7N5KHV3; A0A4W2CZX4; A0A4W2IGY2; A0A5F9CEV6; A0A673UFT2; A0A667GZC4; A0A2K5X530; A0A5F5XSE2; A0A673UEM4; A0A673UNU4; A0A3Q7TM27; A0A1U7QVN4; A0A5E4BNX1; A0A7N5JVA4; A0A341AAA0; F7GRJ2; A0A5E4BNS0; A0A6I9I4P8; A0A6J3ARJ4; G2HEG2; A0A2K5XK51; G3RM06; A0A6J3RUT5; A0A1U7UIF0; A0A2J8V1V7; A0A340XVA3; A0A6J3GAS4; K7DLH6; A0A2R8Y602; A0A2J8PZS9; Q9H078-5; F5H7A5; A0A2J8PZS6; F7H9B9; A0A2K6UC39; A0A2Y9MWA4; A0A341ADE6; Q5RFS9; A0A2J8V1W2; A0A2J8V1Y7; A0A2I3FZB2; Q9H078-2; G1U8Z2; A0A1S3A0Q8; A0A2K5X5G5; A0A3Q2HCK0; A0A0P6J2T6; A0A6P3FNV0; A0A287AHG9; H2NEK4; A0A4X1V195; A0A6J3RUF8; A0A5F4D0M3; A0A2K6UC54; A0A2K5P1A4; A0A2Y9L212; A0A7J8GYD3; Q9H078-3; A0A5F4CG31; A0A2K5RLY6; A0A2J8V1V8; A0A7J8EP88; A0A2U3VBC8; A0A2K6K9Z1; A0A2I2YA37; A0A671F092; A0A2I3MA58; A0A6D2X717; A0A2I3RHD6; F7HEE2; A0A2K5XK75; A0A2K5EAG5; A0A452TTH6; A0A3Q0EHB8; A0A2K6C190; A0A2K6R671; A0A340XP01; A0A6J3AUK0; A0A2K5X4U8; A0A6P6I8A1; A0A673UPR7; A0A337SSJ2; A0A667HP02; A0A5F5PNK7; A0A5F9CXC5; A0A1S3A0R6; M1EGM7; UPI00122FAC0A; UPI001440FD26; UPI00115659BE; UPI001441B113; UPI000F4453C6; UPI00122F390E; UPI00174F6E5D; UPI00046BBA33; UPI00101A985C; UPI000F43F019; UPI00057B5D91; UPI0012630836; UPI000809D093; UPI000DBCA181; UPI00123733BD; UPI0002BCCDC7; UPI00192191B0; UPI0002C68328; UPI0008465F67; UPI000DC1A25C; UPI00045DC198; UPI0013F347DB; UPI00139611EA; UPI0012AE7409; UPI00122F423B; UPI00156C1120; UPI0005F3D6FA; UPI0005F4B2E4; UPI0005F42391; UPI0016593559; UPI00018B4711; UPI00155FF471; UPI0010167E9F; UPI001387236A; UPI001386F99C; UPI001746AD3E; UPI0017479126; UPI001156317D; UPI00136486C3; UPI00017964B4; UPI000C9E6BE1; UPI00045D92CC; UPI00071A71F1; UPI00053F4879; UPI00141AAB68; UPI00188FBB8A; UPI001441360B; UPI00122ECFFB; UPI00042BDED9; UPI001B346E6B; UPI00032AE363; UPI00122EDDF5; UPI001442491F; UPI0013C42835; UPI000E558DB7; UPI0005F3CF54; UPI00155FE42A; UPI0007DBDA6D; UPI0007623FD7; UPI0012AE5A1A; UPI0018B091FC; UPI000BAA19B5; UPI000FFFACA8; UPI000387BC8A; UPI001263954F; UPI0005F4869E; UPI0010F6B8E6; UPI0002BCD1B0; UPI000B4FE1D1; UPI00080A1F07; UPI000F443C5A; UPI00122EBD80; UPI0003C865C4; UPI0013A646B0; UPI0013C51EE3; UPI001560FADD; UPI0013626158; UPI000328CB40; UPI000C857272; UPI00122D6024; UPI00053F8231; UPI0004D0ADEB; UPI00038EECC7; UPI00141AC152; UPI0003316B0D; UPI00032B0BD2; UPI00032ADE5A; UPI001B3510AA; UPI001B345B7C; UPI001AD794EE; UPI0014423AB0; UPI001494D812; UPI000DC1AF90; UPI0001D543B8; UPI001746255E; UPI0012ADEE76; UPI00155FF1F5; UPI0003C849D1; UPI0018B08577; UPI0013628199; UPI00122D89E2; UPI00045DC45C; UPI0003447ED6,Homo sapiens (Human); Pan troglodytes (Chimpanzee); Ovis aries (Sheep); Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus); Equus caballus (Horse); Suricata suricatta (Meerkat); Macaca mulatta (Rhesus macaque); Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus); Ailuropoda melanoleuca (Giant panda); Bos indicus x Bos taurus (Hybrid cattle),707,90%,9606; 9598; 9940; 9739; 9796; 37032; 9544; 43179; 9646; 30522; 61622; 118797; 51298; 9483; 29073; 59479; 9568; 391180; 9678; 9407; 9764; 30538; 9601; 43346; 39432; 9515; 72004; 34884; 59463; 61621; 9541; 9595; 30611; 9708; 103600; 27622; 32536; 9696; 9986; 9685; 9691; 61383; 2715852; 9627; 10036; 9995; 1706337; 1868482; 9749; 61853; 9365; 10181; 10160; 9823; 9615; 9531; 9555; 37293; 9545; 9669; 9731; 9733; 90247; 59472; 29078; 9837; 9838; 89462; 95912; 73337; 9925; 9565; 60711; 76717; 9720; 9715; 9711; 143291; 9597; 34886; 36723; 81572; 1230840; 9793; 885580; 54180; 50954; 74533; ; 9978; 42100; 9999; 9994; 93162; 40151; 419612; 9361; 482537; 34839; 42254; 1608482
