,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
10,Cytokine Signaling in Immune system,Cellular response to chemical stress,Transcriptional activation of mitochondrial biogenesis,TP53 Regulates Metabolic Genes,Cellular responses to stress,TP53 Regulates Metabolic Genes,Transport of small molecules,Transport of small molecules,Citric acid cycle (TCA cycle),Cellular responses to stress,Immune System,Amyloid fiber formation,Hemostasis,Apoptosis,Immune System,Dopamine clearance from the synaptic cleft,Gene expression (Transcription),Mitochondrial protein import,Detoxification of Reactive Oxygen Species,
11,Generic Transcription Pathway,Mitochondrial biogenesis,Signal Transduction,Cytoprotection by HMOX1,Cellular responses to stimuli,Transcriptional Regulation by TP53,Class I peroxisomal membrane protein import,Protein localization,Branched-chain amino acid catabolism,Cellular responses to stimuli,Detoxification of Reactive Oxygen Species,Metabolism,Platelet degranulation ,Programmed Cell Death,Cellular responses to stress,Methylation,Generic Transcription Pathway,Metabolism of amino acids and derivatives,Gene expression (Transcription),
12,RNA Polymerase II Transcription,Organelle biogenesis and maintenance,Metabolism,Transcriptional Regulation by TP53,Generic Transcription Pathway,Cytoprotection by HMOX1,ABC-family proteins mediated transport,Peroxisomal lipid metabolism,Mitochondrial biogenesis,Respiratory electron transport,Signal Transduction,Immune System,Response to elevated platelet cytosolic Ca2+,Disease,Cellular responses to stimuli,Potential therapeutics for SARS,RNA Polymerase II Transcription,Transcriptional Regulation by TP53,Generic Transcription Pathway,
13,Mitochondrial biogenesis,TP53 Regulates Metabolic Genes,Generic Transcription Pathway,Organelle biogenesis and maintenance,RNA Polymerase II Transcription,Mitochondrial biogenesis,ABC transporter disorders,Class I peroxisomal membrane protein import,Transcriptional activation of mitochondrial biogenesis,Transcriptional Regulation by TP53,TP53 Regulates Metabolic Genes,Gene expression (Transcription),"Platelet activation, signaling and aggregation",The citric acid (TCA) cycle and respiratory electron transport,Cellular response to chemical stress,SARS-CoV Infections,Organelle biogenesis and maintenance,Cellular response to chemical stress,RNA Polymerase II Transcription,
14,Organelle biogenesis and maintenance,Cytoprotection by HMOX1,Gene expression (Transcription),Mitochondrial biogenesis,TP53 Regulates Metabolic Genes,Organelle biogenesis and maintenance,Disorders of transmembrane transporters,Defective ABCD1 causes ALD,Organelle biogenesis and maintenance,TP53 Regulates Metabolic Genes,Cytokine Signaling in Immune system,Generic Transcription Pathway,Gene expression (Transcription),Transcriptional Regulation by TP53,Cytokine Signaling in Immune system,Metabolism of lipids,Signaling by Interleukins,Cellular responses to stress,Disease,
15,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Transcriptional activation of mitochondrial biogenesis,RNA Polymerase II Transcription,Complex I biogenesis,Transcriptional Regulation by TP53,Transcriptional activation of mitochondrial biogenesis,Defective ABCD1 causes ALD,ABC transporters in lipid homeostasis,Lysine catabolism,Cytoprotection by HMOX1,The citric acid (TCA) cycle and respiratory electron transport,RNA Polymerase II Transcription,Generic Transcription Pathway,Signal Transduction,Signaling by Interleukins,Metabolism of amino acids and derivatives,Cytokine Signaling in Immune system,Cellular responses to stimuli,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,
16,Interleukin-12 signaling,Intrinsic Pathway for Apoptosis,Hemostasis,Apoptosis,Cytoprotection by HMOX1,Heme biosynthesis,ABC transporters in lipid homeostasis,Beta-oxidation of very long chain fatty acids,Release of apoptotic factors from the mitochondria,Disease,Signaling by Interleukins,Adaptive Immune System,RNA Polymerase II Transcription,Metabolism of lipids,Transcriptional Regulation by TP53,Fatty acid metabolism,Mitochondrial biogenesis,Glutamate and glutamine metabolism,Neurodegenerative Diseases,
17,Interleukin-12 family signaling,Apoptosis,Apoptotic execution phase,Programmed Cell Death,Mitochondrial biogenesis,Metabolism of porphyrins,Generic Transcription Pathway,Mitochondrial iron-sulfur cluster biogenesis,Pyroptosis,Infectious disease,Metabolism of steroids,Antigen processing: Ubiquitination & Proteasome degradation,Disease,Intrinsic Pathway for Apoptosis,The citric acid (TCA) cycle and respiratory electron transport,Immune System,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Detoxification of Reactive Oxygen Species,Diseases of programmed cell death,
18,Cellular response to chemical stress,Programmed Cell Death,Cellular response to chemical stress,Transcriptional activation of mitochondrial biogenesis,Transcriptional activation of mitochondrial biogenesis,Metabolism of proteins,Gene expression (Transcription),Heme biosynthesis,Apoptotic factor-mediated response,Transport of small molecules,Protein localization,Class I MHC mediated antigen processing & presentation,Diseases of programmed cell death,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Mitochondrial Fatty Acid Beta-Oxidation,Generic Transcription Pathway,FOXO-mediated transcription,Metabolism of lipids,FOXO-mediated transcription,
19,Cellular responses to stress,Pyroptosis,Cellular responses to stress,Intrinsic Pathway for Apoptosis,Organelle biogenesis and maintenance,Mitochondrial translation,RNA Polymerase II Transcription,Metabolism of porphyrins,Intrinsic Pathway for Apoptosis,Apoptosis,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",FOXO-mediated transcription,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Detoxification of Reactive Oxygen Species,Gene expression (Transcription),Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,TP53 Regulates Metabolic Genes,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",
20,Cellular responses to stimuli,Apoptotic factor-mediated response,Cellular responses to stimuli,Apoptotic factor-mediated response,Apoptosis,Translation,Cellular response to chemical stress,Reversible hydration of carbon dioxide,Cytochrome c-mediated apoptotic response,Programmed Cell Death,Apoptosis,Disease,Neurodegenerative Diseases,Interleukin-12 signaling,Signal Transduction,RNA Polymerase II Transcription,Interleukin-12 signaling,Fatty acid metabolism,Metabolism of amino acids and derivatives,
21,Detoxification of Reactive Oxygen Species,Regulated Necrosis,Factors involved in megakaryocyte development and platelet production,Cytochrome c-mediated apoptotic response,Programmed Cell Death,Mitochondrial translation termination,Cellular responses to stress,Mitochondrial ABC transporters,Formation of apoptosome,Protein localization,Programmed Cell Death,SUMOylation of transcription cofactors,FOXO-mediated transcription,Interleukin-12 family signaling,Transport of small molecules,Cytokine Signaling in Immune system,Interleukin-12 family signaling,alpha-linolenic acid (ALA) metabolism,Transport of small molecules,
22,Regulation of Apoptosis,Release of apoptotic factors from the mitochondria,Transcriptional Regulation by TP53,Formation of apoptosome,Release of apoptotic factors from the mitochondria,Release of apoptotic factors from the mitochondria,Cellular responses to stimuli,Defective ABCB6 causes MCOPCB7,Regulated Necrosis,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Fatty acid metabolism,SUMO E3 ligases SUMOylate target proteins,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Respiratory electron transport,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Signaling by Interleukins,Innate Immune System,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Hemostasis,
23,Transcriptional activation of mitochondrial biogenesis,Cytochrome c-mediated apoptotic response,The citric acid (TCA) cycle and respiratory electron transport,Regulated Necrosis,Pyroptosis,Pyroptosis,Detoxification of Reactive Oxygen Species,Generic Transcription Pathway,Apoptosis,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Respiratory electron transport,SUMOylation,Organelle biogenesis and maintenance,Detoxification of Reactive Oxygen Species,Apoptosis,Cellular responses to stress,Neutrophil degranulation,Linoleic acid (LA) metabolism,Platelet degranulation ,
24,Intrinsic Pathway for Apoptosis,Formation of apoptosome,Miro GTPase Cycle,Pyroptosis,Apoptotic factor-mediated response,Apoptotic factor-mediated response,TP53 Regulates Metabolic Genes,Gene expression (Transcription),Programmed Cell Death,Interactions of Vpr with host cellular proteins,Intrinsic Pathway for Apoptosis,Biological oxidations,Mitochondrial biogenesis,TP53 Regulates Metabolic Genes,Programmed Cell Death,Cellular responses to stimuli,Scavenging by Class A Receptors,Disease,Response to elevated platelet cytosolic Ca2+,
25,Translation,Detoxification of Reactive Oxygen Species,RHOT2 GTPase cycle,Release of apoptotic factors from the mitochondria,Intrinsic Pathway for Apoptosis,Intrinsic Pathway for Apoptosis,Transcriptional Regulation by TP53,RNA Polymerase II Transcription,Glycine degradation,"Transport of vitamins, nucleosides, and related molecules",Metabolism of amino acids and derivatives,FOXO-mediated transcription of cell death genes,Transcriptional activation of mitochondrial biogenesis,Fatty acid metabolism,Respiratory electron transport,Cellular response to chemical stress,Binding and Uptake of Ligands by Scavenger Receptors,Signal Transduction,"Platelet activation, signaling and aggregation",
26,Metabolism of proteins,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Heme biosynthesis,Cytochrome c-mediated apoptotic response,Cytochrome c-mediated apoptotic response,Mitochondrial protein import,Cellular response to chemical stress,Generic Transcription Pathway,SLC-mediated transmembrane transport,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Cytokine Signaling in Immune system,Metabolism,Protein localization,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,The citric acid (TCA) cycle and respiratory electron transport,Golgi Associated Vesicle Biogenesis,Class I peroxisomal membrane protein import,Mitochondrial biogenesis,
27,Pyroptosis,"SMAC, XIAP-regulated apoptotic response",Immune System,Metabolism of porphyrins,Formation of apoptosome,Formation of apoptosome,Metabolism of proteins,Cellular responses to stress,Gene expression (Transcription),Host Interactions of HIV factors,Interleukin-12 signaling,Signaling by Interleukins,Signal Transduction,Metabolism of amino acids and derivatives,Interleukin-12 signaling,Metabolism of steroids,trans-Golgi Network Vesicle Budding,Peroxisomal lipid metabolism,Transcriptional activation of mitochondrial biogenesis,
28,Apoptotic factor-mediated response,SMAC (DIABLO) binds to IAPs ,Signaling by Interleukins,Detoxification of Reactive Oxygen Species,Regulated Necrosis,Regulated Necrosis,Peroxisomal protein import,Cellular responses to stimuli,RNA Polymerase II Transcription,HIV Infection,Interleukin-12 family signaling,Transmission across Chemical Synapses,Apoptosis,Cytoprotection by HMOX1,Interleukin-12 family signaling,Diseases of metabolism,Membrane Trafficking,Metabolism of proteins,Organelle biogenesis and maintenance,
29,Regulated Necrosis,Activation of caspases through apoptosome-mediated cleavage,Cytokine Signaling in Immune system,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Heme biosynthesis,Apoptosis,Resolution of AP sites via the single-nucleotide replacement pathway,Metabolism of steroids,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Mitochondrial protein import,Biological oxidations,Neuronal System,Programmed Cell Death,FOXO-mediated transcription,Infectious disease,Metabolism of vitamins and cofactors,Vesicle-mediated transport,Defective ABCD1 causes ALD,Metabolism of lipids,
30,Transcriptional Regulation by TP53,Metabolism of proteins,Respiratory electron transport,"SMAC, XIAP-regulated apoptotic response",Metabolism of porphyrins,Programmed Cell Death,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Peroxisomal protein import,Respiratory electron transport,Pyroptosis,Transport of small molecules,Neurotransmitter clearance,Intrinsic Pathway for Apoptosis,Diseases of programmed cell death,Intrinsic Pathway for Apoptosis,Detoxification of Reactive Oxygen Species,Transcriptional activation of mitochondrial biogenesis,ABC transporters in lipid homeostasis,Fatty acid metabolism,
31,Hemostasis,Regulation of the apoptosome activity,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",SMAC (DIABLO) binds to IAPs ,Detoxification of Reactive Oxygen Species,Metabolism of amino acids and derivatives,Resolution of Abasic Sites (AP sites),Detoxification of Reactive Oxygen Species,Cellular response to chemical stress,Apoptotic factor-mediated response,Diseases of programmed cell death,Enzymatic degradation of Dopamine by monoamine oxidase,Transcriptional Regulation by TP53,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",TP53 Regulates Metabolic Genes,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Cellular responses to stress,ABC-family proteins mediated transport,Iron uptake and transport,
32,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Immune System,TP53 Regulates Metabolic Genes,Activation of caspases through apoptosome-mediated cleavage,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Detoxification of Reactive Oxygen Species,PCNA-Dependent Long Patch Base Excision Repair,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Detoxification of Reactive Oxygen Species,Intrinsic Pathway for Apoptosis,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Enzymatic degradation of dopamine by COMT,Metabolism of lipids,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Peroxisomal protein import,Interleukin-12 signaling,Cellular responses to stimuli,Beta-oxidation of very long chain fatty acids,Signal Transduction,
33,FOXO-mediated transcription,Signal Transduction,Cytoprotection by HMOX1,Regulation of the apoptosome activity,"SMAC, XIAP-regulated apoptotic response",SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,POLB-Dependent Long Patch Base Excision Repair,FOXO-mediated transcription,Cellular responses to stress,Cytochrome c-mediated apoptotic response,Neurodegenerative Diseases,Dopamine clearance from the synaptic cleft,The citric acid (TCA) cycle and respiratory electron transport,Neurodegenerative Diseases,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Interleukin-12 family signaling,Disease,ABC transporter disorders,Glyoxylate metabolism and glycine degradation,
34,Release of apoptotic factors from the mitochondria,Heme biosynthesis,Intrinsic Pathway for Apoptosis,Metabolism of amino acids and derivatives,SMAC (DIABLO) binds to IAPs ,"SMAC, XIAP-regulated apoptotic response",Base Excision Repair,Respiratory electron transport,Cellular responses to stimuli,Regulated Necrosis,Organelle biogenesis and maintenance,Phase II - Conjugation of compounds,Metabolism of amino acids and derivatives,Regulated Necrosis,Biological oxidations,Metabolism of water-soluble vitamins and cofactors,Cellular response to chemical stress,Disorders of transmembrane transporters,Protein localization,
35,Disease,Metabolism of porphyrins,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Cristae formation,Activation of caspases through apoptosome-mediated cleavage,SMAC (DIABLO) binds to IAPs ,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,The citric acid (TCA) cycle and respiratory electron transport,Gluconeogenesis,Release of apoptotic factors from the mitochondria,Mitochondrial biogenesis,Infectious disease,Protein localization,Apoptotic factor-mediated response,Metabolism of steroids,Fatty acyl-CoA biosynthesis,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Translation,The citric acid (TCA) cycle and respiratory electron transport,
36,Deregulated CDK5 triggers multiple neurodegenerative pathways in Alzheimer's disease models,Translation,Interleukin-12 signaling,Branched-chain amino acid catabolism,Regulation of the apoptosome activity,Activation of caspases through apoptosome-mediated cleavage,DNA Repair,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Glucose metabolism,Formation of apoptosome,Diseases of metabolism,Methylation,Apoptotic factor-mediated response,Pyroptosis,SLC-mediated transmembrane transport,Activation of gene expression by SREBF (SREBP),Neurodegenerative Diseases,Immune System,Innate Immune System,
37,Neurodegenerative Diseases,Signaling by Interleukins,Interleukin-12 family signaling,Formation of ATP by chemiosmotic coupling,Ubiquinol biosynthesis,Regulation of the apoptosome activity,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",TP53 Regulates Metabolic Genes,Metabolism of carbohydrates,Metabolism of proteins,Innate Immune System,Potential therapeutics for SARS,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Innate Immune System,FOXO-mediated transcription,Regulation of cholesterol biosynthesis by SREBP (SREBF),Diseases of programmed cell death,Apoptosis,Transcriptional Regulation by TP53,
38,Diseases of programmed cell death,Cytokine Signaling in Immune system,Pyroptosis,Pyruvate metabolism and Citric Acid (TCA) cycle,Metabolism of vitamins and cofactors,Protein localization,FOXO-mediated transcription,Mitochondrial biogenesis,Mitochondrial protein import,Detoxification of Reactive Oxygen Species,FOXO-mediated transcription,SARS-CoV Infections,TP53 Regulates Metabolic Genes,Biological oxidations,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Defects in vitamin and cofactor metabolism,Detoxification of Reactive Oxygen Species,Programmed Cell Death,Neutrophil degranulation,
39,Signal Transduction,Metabolism of amino acids and derivatives,Apoptotic factor-mediated response,Metabolism of proteins,Metabolism of cofactors,Complex I biogenesis,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Cytoprotection by HMOX1,Protein localization,Heme biosynthesis,Phase I - Functionalization of compounds,Metabolism of amino acids and derivatives,Regulated Necrosis,Peroxisomal protein import,Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization,Protein localization,Metabolism of lipids,Signaling by Interleukins,Degradation of cysteine and homocysteine,
40,Mitochondrial translation elongation,Pyruvate metabolism and Citric Acid (TCA) cycle,Regulated Necrosis,Translation,PINK1-PRKN Mediated Mitophagy,Mitochondrial protein import,Ub-specific processing proteases,Release of apoptotic factors from the mitochondria,TP53 Regulates Metabolic Genes,Metabolism of porphyrins,Metabolic disorders of biological oxidation enzymes,Late endosomal microautophagy,Fatty acid metabolism,Organelle biogenesis and maintenance,Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane,Defective HLCS causes multiple carboxylase deficiency,Signal Transduction,Cytokine Signaling in Immune system,Sulfur amino acid metabolism,
41,Mitochondrial translation,Citric acid cycle (TCA cycle),Disease,Metabolism of lipids,Mitophagy,Pyruvate metabolism and Citric Acid (TCA) cycle,Deubiquitination,Transcriptional activation of mitochondrial biogenesis,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Cytochrome P450 - arranged by substrate type,Chaperone Mediated Autophagy,Respiratory electron transport,Mitochondrial biogenesis,Interactions of Vpr with host cellular proteins,Defects in biotin (Btn) metabolism,Metabolism of amino acids and derivatives,Mitochondrial tRNA aminoacylation,Gluconeogenesis,
42,Mitochondrial translation termination,Mitochondrial translation,Release of apoptotic factors from the mitochondria,Signal Transduction,Selective autophagy,Citric acid cycle (TCA cycle),Post-translational protein modification,Pyroptosis,Cytoprotection by HMOX1,"SMAC, XIAP-regulated apoptotic response",BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Cellular responses to stress,Pyroptosis,Cytochrome c-mediated apoptotic response,"Transport of vitamins, nucleosides, and related molecules",Biotin transport and metabolism,Fatty acid metabolism,tRNA Aminoacylation,Glucose metabolism,
43,Mitochondrial translation initiation,Mitochondrial translation termination,Detoxification of Reactive Oxygen Species,Fatty acid metabolism,Macroautophagy,Disease,The citric acid (TCA) cycle and respiratory electron transport,Apoptotic factor-mediated response,"SMAC, XIAP-regulated apoptotic response",SMAC (DIABLO) binds to IAPs ,Complex I biogenesis,Cellular responses to stimuli,Cytochrome c-mediated apoptotic response,Transport of small molecules,Host Interactions of HIV factors,FOXO-mediated transcription,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Apoptotic execution phase,Metabolism of carbohydrates,
44,Activation and oligomerization of BAK protein,Metabolism of lipids,Cytochrome c-mediated apoptotic response,Mitochondrial Fatty Acid Beta-Oxidation,Autophagy,Infectious disease,Immune System,Intrinsic Pathway for Apoptosis,SMAC (DIABLO) binds to IAPs ,Activation of caspases through apoptosome-mediated cleavage,Metabolism of proteins,Cellular response to chemical stress,Mitochondrial protein import,Signaling by Nuclear Receptors,HIV Infection,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Respiratory electron transport,The citric acid (TCA) cycle and respiratory electron transport,TP53 Regulates Metabolic Genes,
45,TP53 Regulates Metabolic Genes,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Mitochondrial calcium ion transport,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Pyruvate metabolism and Citric Acid (TCA) cycle,Metabolism of lipids,Innate Immune System,Organelle biogenesis and maintenance,Activation of caspases through apoptosome-mediated cleavage,Regulation of the apoptosome activity,Peroxisomal protein import,Apoptosis,Innate Immune System,Hemostasis,Influenza Virus Induced Apoptosis,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Apoptosis,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Glutamate and glutamine metabolism,
46,Cytochrome c-mediated apoptotic response,Interleukin-12 signaling,Transport of small molecules,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Metabolism of amino acids and derivatives,Ubiquinol biosynthesis,Neutrophil degranulation,Cytochrome c-mediated apoptotic response,Regulation of the apoptosome activity,DNA Repair,"FOXO-mediated transcription of oxidative stress, metabolic and neuronal genes",Programmed Cell Death,Signaling by Nuclear Receptors,Transcriptional activation of mitochondrial biogenesis,Influenza Infection,Glycerophospholipid biosynthesis,Programmed Cell Death,Interleukin-12 signaling,Aspartate and asparagine metabolism,
47,Platelet degranulation ,Interleukin-12 family signaling,Formation of apoptosome,Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Disease,Metabolism of vitamins and cofactors,Respiratory electron transport,Formation of apoptosome,Transcriptional Regulation by TP53,Resolution of AP sites via the single-nucleotide replacement pathway,Mitochondrial iron-sulfur cluster biogenesis,Gene and protein expression by JAK-STAT signaling after Interleukin-12 stimulation,Transport of small molecules,BH3-only proteins associate with and inactivate anti-apoptotic BCL-2 members,Glycerophospholipid biosynthesis,Phospholipid metabolism,Glyoxylate metabolism and glycine degradation,Interleukin-12 family signaling,Apoptosis,
48,Response to elevated platelet cytosolic Ca2+,Fatty acid metabolism,Processing of SMDT1,Beta oxidation of hexanoyl-CoA to butanoyl-CoA,Citric acid cycle (TCA cycle),Metabolism of cofactors,"Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins.",Regulated Necrosis,Disease,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Signaling by GPCR,Interleukin-12 signaling,Cytoprotection by HMOX1,Mitochondrial Fatty Acid Beta-Oxidation,Phospholipid metabolism,Respiratory electron transport,Metabolism of vitamins and cofactors,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",Programmed Cell Death,
