,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD
14,Q9Y2Z4,Q9Y606,Q00325,O75251,P31040,P12235,O14832,Q13085,P00367,O60930,Q9NP81,Q07812,Q07812,P04040,Q8IVS2,P00441,P38646,Q8TCG5,P52758
15,O43676,P12532,Q07812,Q9NSE4,P21912,Q16795,P11498,P43155,Q15119,O00142,P04040,P32119,P32119,Q8NI37,P80404,Q8IVS2,P30536,Q5T440,Q00325
16,Q00059,P17540,P20674,Q96DP5,O95140,O75390,P10176,P30536,Q9Y2D0,O60313,O00408,P04179,P02794,P30536,P04040,P49419,Q99797,Q9NVI7,Q9Y2S7
17,P51648,P49327,P36551,P49821,Q9UDR5,P17540,O95168,Q6IB77,P35218,P21912,Q9NP58,Q9Y2S7,P49327,P04179,P00441,O00408,P04179,Q9BT17,Q53FZ2
18,Q08257,Q14296,P10176,Q16795,Q9UL12,P00846,Q9HA77,P04040,Q8NI37,Q9UDR5,Q13505,O43464,Q8N4E7,O96008,Q92947,Q9H3H1,P31040,Q8NE86,P42574
19,P00156,Q9NYY8,Q9H061,O75306,Q16698,O95169,Q9P2R7,P99999,Q16822,P05141,Q6IB77,P04040,P12532,A6NK06,P22570,Q9NP58,P07203,Q9BYT8,P39210
20,P00441,P00403,Q16891,P31040,O75208,O95168,P53597,P10176,P36776,Q9UL12,P43155,Q9BYT8,P17540,P27338,P36551,P12532,P36969,Q9Y619,P53701
21,O60238,Q07812,P33121,O75489,P12532,P12532,Q16836,0.0,Q9UMS0,Q96A46,Q9HD23,Q16698,Q16698,Q9NP58,P10176,P17540,P28330,Q5THJ4,Q5T2R2
22,Q14249,P06746,Q92667,Q7KZN9,P17540,P12694,Q08426,0.0,P07954,P16219,P55957,P07203,O43766,Q9UG56,Q9Y2D0,O43676,Q96E52,Q8TD30,Q9Y2Q3
23,P49419,P03897,P00441,Q9P0J1,Q96RR1,Q5T2R2,P55211,0.0,P00156,Q9Y4W6,P51659,P36969,Q09013,P43155,P35218,P32119,O60220,O95363,Q99757
24,P03901,Q9UI43,Q99798,P13073,O60260,O75489,P20674,0.0,Q16654,Q9UQ90,Q02318,Q9Y6H1,O95831,Q8N4E7,Q5T2R2,Q9Y2Q3,Q14249,O00429,Q6IB77
25,P04179,Q16795,P04179,P00395,P35232,P12236,P36551,0.0,O43708,P12532,P13804,O43676,P04040,Q6IB77,P10415,P07203,P32119,Q99623,P12236
26,Q9NX14,Q99623,O43169,Q96CU9,P21796,Q9P0J6,Q96RR1,0.0,Q9Y5U8,P17540,P36969,Q9NP58,P55211,P02794,P32119,Q8NE62,P42574,Q99807,P53007
27,O95831,Q16698,O43572,P21912,O75390,Q9Y2Z9,O00408,0.0,P0DKB6,Q16854,P07203,Q9NYZ2,Q99497,P36969,Q9NP58,P04179,P22830,Q02318,P49419
28,P99999,Q15031,Q9GZY8,O75880,P03923,Q8NI60,P22307,0.0,O95563,Q00059,P36551,P38646,P30536,Q16698,Q9BYT8,Q96E52,Q9BYT8,Q96JX3,P12235
29,P00403,P03915,Q9Y3D6,Q12887,Q99623,Q96H96,Q9NR77,0.0,P10620,P31040,Q9H9B4,Q9Y2Q3,P36969,P07203,P43155,P30536,P12532,O00142,Q9P0J1
30,P04040,P10415,Q9BV79,P28331,Q00059,P17152,P39210,0.0,Q9BZ23,P00846,Q9Y2Q3,Q9P0J1,O00154,P21397,Q13085,O15229,P17540,O95831,P10176
31,P42574,P22033,Q9UJZ1,O00330,O00429,Q16762,Q9NRD5,0.0,Q15118,P04179,Q9Y3E5,P05091,P27695,Q99714,P42574,P27338,Q9HC21,P42574,P99999
32,Q96RR1,Q02221,Q96KJ9,Q9BSH4,Q99798,P30536,Q16854,0.0,P36957,Q8TB36,Q86Y79,Q00059,P07203,Q96E52,P20674,Q8N3J5,O75390,P00846,O43865
33,Q8IWA4,Q6YFQ2,Q02127,Q96JX3,P06746,O95822,P27695,0.0,P55851,Q14249,Q9NWT8,Q13085,Q5T2R2,Q9NYZ2,Q9Y2Q3,P36969,Q9Y2S7,Q16635,P43155
34,Q8NBN7,P14854,P13073,Q9UDR5,P36969,Q02221,P03915,0.0,O75390,P00441,Q8NFU3,Q8NFU3,P10176,Q9Y2Q3,P22033,P22570,P54098,P40926,Q9NP58
35,P49590,P12074,Q8IWA4,Q9H3J6,P07203,Q6YFQ2,O75390,0.0,Q14249,P42574,P10176,O00429,P20674,Q9BT17,P30536,P49327,Q02218,Q16762,O94925
36,P03891,Q99551,Q02221,Q9UL12,P00441,P14854,Q9UHN1,0.0,P12532,P04040,P00441,P49419,P36551,O00408,Q9UG56,P00367,Q9P0J1,Q8NFU3,Q14249
37,O15239,P11310,Q6YFQ2,P09622,O43676,P12074,Q14249,0.0,P10809,Q13472,Q9Y2S7,P99999,Q8NI37,P99999,P04179,A6NK06,P06746,P12074,O60218
38,Q9H936,Q15388,P14854,Q96I59,P32119,P00395,Q02318,0.0,P17540,P03928,A6NK06,O15528,P99999,Q16548,P07203,Q99623,Q5T2R2,Q9P0J6,Q99798
39,P53007,P53007,P12074,P03897,P04040,Q86YH6,Q9NP58,0.0,Q6IB77,P39210,O43521,O00408,P27338,P24752,Q07812,Q8NFU3,Q9H9B4,P51648,P33897
40,P00390,Q96QU6,Q5JRX3,Q5TEU4,P04179,Q9Y3E5,P02794,0.0,Q16595,Q16891,Q16762,P30536,Q02318,Q14296,P36969,Q9UF12,P13804,P54098,Q9UIJ7
41,P51659,P42574,Q07820,O15239,0.0,Q86Y79,Q8N4E7,0.0,P04179,Q9P0J6,Q13686,P55211,Q9H1K1,P49419,P30044,P49675,P00441,O95140,Q9UBX3
42,Q9H6K4,P04179,O00142,O75390,0.0,P53007,P32119,0.0,P00441,P03915,Q00325,Q9H3H1,P11498,P09622,P23434,P55957,Q9NR77,P05091,Q96JX3
43,P36969,P32119,Q96E52,O75380,0.0,Q16698,P42574,0.0,0.0,O75390,P49327,P36551,O60260,Q9UL12,Q02318,P12236,P11310,P13804,P40926
44,P54098,Q12887,P10809,Q9UI09,0.0,P32119,0.0,0.0,0.0,P00156,P24752,Q16762,P52758,P05091,P51649,Q00325,Q9UIF7,P00441,Q9Y3E5
45,P07203,Q969Y2,P42574,Q96IX5,0.0,Q8WUD6,0.0,0.0,0.0,O95140,Q15070,Q08426,Q6IB77,Q15070,P00367,Q5T2R2,O14561,P36404,Q86Y79
46,P43155,O75648,0.0,Q13505,0.0,Q96A35,0.0,0.0,0.0,P36969,Q96E52,P51648,Q9Y2Q3,P30405,Q8WUD6,O60218,P49327,Q9H4I9,P00390
47,Q6IB77,Q9Y2Z2,0.0,O43678,0.0,Q9H0U6,0.0,0.0,0.0,P07203,Q8IVS2,Q6IB77,Q8N573,P26440,P53007,P12235,Q86SX6,Q8N983,Q8NE62
48,P32119,P49411,0.0,Q9Y375,0.0,P03928,0.0,0.0,0.0,O43676,Q8NE62,P10176,Q9NP58,Q8NE62,Q8NE62,P53396,P06576,Q96DA6,Q9UDR5
49,O75600,Q5ST30,0.0,Q9BU61,0.0,P00414,0.0,0.0,0.0,P32119,P10515,Q9UG56,P55851,Q08426,Q9NVS9,Q9NP81,Q15118,Q53H12,P49327
50,Q9HD33,O75390,0.0,Q96KJ9,0.0,O75208,0.0,0.0,0.0,0.0,P04181,P20674,Q13057,Q14790,P48735,Q9BYT8,Q9NUB1,Q13825,P31040
51,P49411,P00156,0.0,Q8N4E7,0.0,P48735,0.0,0.0,0.0,0.0,P53007,P42126,Q9UQ90,O15527,Q9UL12,Q16548,Q6P4F2,Q96I51,Q96E52
52,P03928,Q00059,0.0,P53597,0.0,Q14249,0.0,0.0,0.0,0.0,Q16698,P43155,Q00059,P49327,P00390,P00390,Q96QU6,Q9NP80,P06746
53,Q96RQ3,O95140,0.0,Q9P2R7,0.0,P03905,0.0,0.0,0.0,0.0,P49419,Q12931,O43676,Q99797,Q9Y3E5,P49773,P10515,Q9BUB7,P21397
54,Q02221,P03886,0.0,P00414,0.0,Q9BT17,0.0,0.0,0.0,0.0,P78540,P00367,Q9Y6H1,P12236,Q86Y79,Q9UL12,P11498,Q9BSE5,Q07812
55,Q6YFQ2,P04040,0.0,Q96EY7,0.0,P23786,0.0,0.0,0.0,0.0,P20674,P35270,P43155,P21796,Q9UDR5,P99999,Q16795,Q8TB36,P10415
56,P14854,P38646,0.0,Q9GZT3,0.0,P50416,0.0,0.0,0.0,0.0,P42574,P30041,P55916,Q00059,P00505,P10176,Q96RR1,Q96HS1,P27338
57,P12074,P00441,0.0,P82650,0.0,P49411,0.0,0.0,0.0,0.0,Q16836,Q09013,P78540,P51659,Q16698,P36551,P36551,P05165,O60260
58,Q5JRX3,Q9UG56,0.0,Q9P032,0.0,Q02127,0.0,0.0,0.0,0.0,P10809,Q9UL12,O43464,P35270,P35270,Q92934,P04040,Q13084,Q9UJS0
59,O75390,Q96RP9,0.0,A1L188,0.0,Q99807,0.0,0.0,0.0,0.0,O00154,Q16635,P27144,O00429,P35232,Q96QU6,P20674,Q16891,Q9BSE5
60,O95140,P03928,0.0,P0DJ07,0.0,P03901,0.0,0.0,0.0,0.0,P25325,Q8N490,O14561,O43678,Q9BT17,Q9NQ50,P10176,P49773,O75027
61,Q99623,Q9H4A6,0.0,Q9NPL8,0.0,P03897,0.0,0.0,0.0,0.0,Q14790,Q99798,Q9HCL2,P21964,Q8NI37,Q9UQ90,Q96A46,P55789,P30048
62,P12532,P00414,0.0,P14406,0.0,Q9HBH1,0.0,0.0,0.0,0.0,Q9UI32,P00395,O95140,Q00325,Q9NVV4,Q9NRD5,P49748,O43819,P51687
63,P17540,P09110,0.0,Q9H845,0.0,P03915,0.0,0.0,0.0,0.0,Q13085,Q08257,O75390,Q13057,Q9NP92,Q9UI32,P33121,Q13057,P28838
64,Q9UL12,Q16635,0.0,Q9HC21,0.0,O95831,0.0,0.0,0.0,0.0,Q8N490,Q86YH6,Q53FZ2,Q13085,P12532,O94925,O75027,P21796,Q04837
65,P21397,O43819,0.0,Q96AG3,0.0,P03923,0.0,0.0,0.0,0.0,Q9H611,A6NK06,P25325,O60260,P17540,Q02978,Q8NFF5,P21549,P04181
66,P10176,P00395,0.0,O95169,0.0,Q9Y2D0,0.0,0.0,0.0,0.0,P55851,O95831,Q14790,P12235,Q00325,P25325,Q9Y3B8,P78540,P21549
67,P30536,O60218,0.0,P08559,0.0,Q53FZ2,0.0,0.0,0.0,0.0,Q9UL12,P12532,P30405,P55211,P55957,P17152,Q9UBX3,P21912,O14561
68,O60220,P03923,0.0,O75964,0.0,P06746,0.0,0.0,0.0,0.0,Q07812,P17540,Q9BT17,O60313,P49327,P53701,P10620,Q9UDR5,O75390
69,P27338,P05091,0.0,Q8N183,0.0,O00408,0.0,0.0,0.0,0.0,Q07973,P51659,Q8IVS2,P12532,P21912,Q15070,Q9BZ23,P04179,Q02218
70,P20674,P10809,0.0,Q16822,0.0,P36969,0.0,0.0,0.0,0.0,Q5SXM8,P54098,A6NK06,P17540,P38646,Q8N490,P17612,Q96E52,Q00059
71,P36551,P30536,0.0,Q9Y234,0.0,P07203,0.0,0.0,0.0,0.0,P00390,P12236,Q9Y3E5,P00390,Q16836,P19404,Q09013,Q9UL12,Q9Y276
72,0.0,Q9BXM7,0.0,Q9Y3A0,0.0,P43155,0.0,0.0,0.0,0.0,P04179,Q00325,Q86Y79,O14561,P23368,Q16698,O94761,O00408,P12532
73,0.0,O60260,0.0,P19404,0.0,Q9NP58,0.0,0.0,0.0,0.0,P17568,P00390,P40926,P35218,Q9Y2S7,P10415,P23434,P10176,P17540
74,0.0,0.0,0.0,P03915,0.0,P04040,0.0,0.0,0.0,0.0,Q99497,P48735,P21796,P55957,Q9H936,Q99797,Q9HD23,P32119,Q13085
75,0.0,0.0,0.0,P00403,0.0,P33897,0.0,0.0,0.0,0.0,P22570,Q9H300,Q9Y3B8,Q16836,P45880,P38646,P55211,P04040,P30536
76,0.0,0.0,0.0,Q86YH6,0.0,P04179,0.0,0.0,0.0,0.0,O94925,P49327,Q9NRD5,Q02218,O00429,P20674,Q00059,O60313,Q99497
77,0.0,0.0,0.0,P11177,0.0,P00441,0.0,0.0,0.0,0.0,P53701,P21549,Q7L2E3,O95831,P21397,Q9NWT8,P00367,P20674,Q9BXM7
78,0.0,0.0,0.0,P11498,0.0,0.0,0.0,0.0,0.0,0.0,Q9BQT8,Q8NI37,Q9NUL7,O60218,Q96EY8,Q8IVH4,P21912,P36551,P20674
79,0.0,0.0,0.0,Q14249,0.0,0.0,0.0,0.0,0.0,0.0,Q9UQ90,O43236,O43678,P36957,Q99623,Q9BT17,A6NK06,0.0,P36551
80,0.0,0.0,0.0,P03886,0.0,0.0,0.0,0.0,0.0,0.0,P33897,Q96H96,P25874,Q4J6C6,P54098,P04181,P99999,0.0,0.0
81,0.0,0.0,0.0,P04040,0.0,0.0,0.0,0.0,0.0,0.0,P48728,O14561,Q07817,O94925,Q9UI32,O43678,Q07812,0.0,0.0
82,0.0,0.0,0.0,Q8N490,0.0,0.0,0.0,0.0,0.0,0.0,P12236,Q96E52,O15528,Q5JRX3,O94925,P13804,P46199,0.0,0.0
83,0.0,0.0,0.0,Q969S9,0.0,0.0,0.0,0.0,0.0,0.0,Q14296,Q14790,Q14249,Q99623,P99999,Q7Z4W1,Q8N4Q1,0.0,0.0
84,0.0,0.0,0.0,Q9Y6N1,0.0,0.0,0.0,0.0,0.0,0.0,Q5T2R2,O00154,P51659,P21549,Q16762,P42574,O75439,0.0,0.0
85,0.0,0.0,0.0,Q86Y39,0.0,0.0,0.0,0.0,0.0,0.0,O75616,Q8WUD6,Q9BXM7,O15528,O14561,Q16762,Q6J4K2,0.0,0.0
86,0.0,0.0,0.0,P82930,0.0,0.0,0.0,0.0,0.0,0.0,O60218,P12235,Q969G6,P27695,Q9NWT8,Q9Y2S7,P50336,0.0,0.0
87,0.0,0.0,0.0,Q8TCS8,0.0,0.0,0.0,0.0,0.0,0.0,Q13423,Q96RQ3,O94925,P51648,Q9NP81,O75251,P13051,0.0,0.0
88,0.0,0.0,0.0,O95299,0.0,0.0,0.0,0.0,0.0,0.0,P12235,Q16795,P00367,Q8WUD6,Q9UQ90,P24752,P10109,0.0,0.0
89,0.0,0.0,0.0,P43897,0.0,0.0,0.0,0.0,0.0,0.0,P00395,Q9Y3B8,P21912,Q9NP81,Q14296,P07108,Q13472,0.0,0.0
90,0.0,0.0,0.0,Q02221,0.0,0.0,0.0,0.0,0.0,0.0,Q96QU6,O15527,P48728,Q9NTG7,Q5T160,Q96EY8,O75964,0.0,0.0
91,0.0,0.0,0.0,Q6YFQ2,0.0,0.0,0.0,0.0,0.0,0.0,Q08426,P11498,Q9BQT8,Q8NFU3,P21549,P25705,Q9H2D1,0.0,0.0
92,0.0,0.0,0.0,P14854,0.0,0.0,0.0,0.0,0.0,0.0,P61604,Q70CQ3,Q9NTG7,P17612,Q8N490,P05091,P13073,0.0,0.0
93,0.0,0.0,0.0,P12074,0.0,0.0,0.0,0.0,0.0,0.0,Q9UHN1,Q9HBH1,Q9UI32,P78540,P11498,P48728,O15239,0.0,0.0
94,0.0,0.0,0.0,P40305,0.0,0.0,0.0,0.0,0.0,0.0,Q02978,Q9UBX3,P40939,P13804,O95831,P25874,Q8IWA4,0.0,0.0
95,0.0,0.0,0.0,P55851,0.0,0.0,0.0,0.0,0.0,0.0,Q6PI48,Q15070,P08574,P10809,P31327,Q9UKU0,Q96PG8,0.0,0.0
96,0.0,0.0,0.0,Q08257,0.0,0.0,0.0,0.0,0.0,0.0,P51648,Q02218,P55789,P40305,Q5ST30,P47985,P47985,0.0,0.0
97,0.0,0.0,0.0,P00156,0.0,0.0,0.0,0.0,0.0,0.0,P40939,Q8WYQ3,Q9HBH1,Q9UI32,P02794,Q14296,Q5JRX3,0.0,0.0
98,0.0,0.0,0.0,Q9Y276,0.0,0.0,0.0,0.0,0.0,0.0,P47985,P30405,Q9NVV4,Q16762,Q13505,Q8NI37,P40926,0.0,0.0
99,0.0,0.0,0.0,P06746,0.0,0.0,0.0,0.0,0.0,0.0,P21549,P10620,Q9NP92,P53007,P27338,P10809,Q9HBH1,0.0,0.0
100,0.0,0.0,0.0,P04179,0.0,0.0,0.0,0.0,0.0,0.0,Q9BUP3,Q8IVS2,P48735,Q8IVS2,O15528,P51659,P00395,0.0,0.0
101,0.0,0.0,0.0,P54098,0.0,0.0,0.0,0.0,0.0,0.0,Q07820,O94925,P00390,P49675,Q9NYZ2,P00395,O60218,0.0,0.0
102,0.0,0.0,0.0,O60313,0.0,0.0,0.0,0.0,0.0,0.0,O14561,Q9HC21,P31040,Q15118,Q13794,Q07812,P00156,0.0,0.0
103,0.0,0.0,0.0,P51970,0.0,0.0,0.0,0.0,0.0,0.0,Q13057,P13804,P12236,O43521,O95363,P35270,Q9UHN1,0.0,0.0
104,0.0,0.0,0.0,P24310,0.0,0.0,0.0,0.0,0.0,0.0,Q16548,Q15046,P13804,P38646,O00154,P53007,P00390,0.0,0.0
105,0.0,0.0,0.0,O14548,0.0,0.0,0.0,0.0,0.0,0.0,Q9NVV4,P22570,Q7L3V2,O43464,Q15070,Q9NTX5,Q16762,0.0,0.0
106,0.0,0.0,0.0,P32322,0.0,0.0,0.0,0.0,0.0,0.0,Q9NP92,P21796,Q5T1C6,Q9Y3E5,A6NK06,O95563,P00505,0.0,0.0
107,0.0,0.0,0.0,O75879,0.0,0.0,0.0,0.0,0.0,0.0,Q9UG56,Q8NE86,Q96H96,Q86Y79,Q13423,Q14249,P10809,0.0,0.0
108,0.0,0.0,0.0,Q6PI48,0.0,0.0,0.0,0.0,0.0,0.0,P35232,O60238,Q9BZ23,Q92934,Q96QU6,Q9HBH1,O43678,0.0,0.0
109,0.0,0.0,0.0,P36776,0.0,0.0,0.0,0.0,0.0,0.0,P00480,Q16891,P22830,Q53FZ2,Q8N4E7,Q9HC21,Q16698,0.0,0.0
110,0.0,0.0,0.0,Q9UJA2,0.0,0.0,0.0,0.0,0.0,0.0,Q9Y276,Q8NE62,Q07820,Q9Y2D0,P05091,P28838,O00408,0.0,0.0
111,0.0,0.0,0.0,Q5THJ4,0.0,0.0,0.0,0.0,0.0,0.0,O95831,Q9NTG7,Q96EY8,Q14249,P55789,P21549,P43155,0.0,0.0
112,0.0,0.0,0.0,Q16891,0.0,0.0,0.0,0.0,0.0,0.0,P35270,Q96PG8,O43521,Q96PN6,P51648,P00156,P08559,0.0,0.0
113,0.0,0.0,0.0,Q96H96,0.0,0.0,0.0,0.0,0.0,0.0,P00505,O43678,Q9NZJ7,P14324,P23378,P34897,Q9NYZ2,0.0,0.0
114,0.0,0.0,0.0,P17612,0.0,0.0,0.0,0.0,0.0,0.0,P40305,Q99623,Q99623,Q96QU6,P78540,P10515,Q6IB77,0.0,0.0
115,0.0,0.0,0.0,Q86WU2,0.0,0.0,0.0,0.0,0.0,0.0,P07108,P10809,P33897,P22033,P05165,Q9H2D1,P10415,0.0,0.0
116,0.0,0.0,0.0,Q9H300,0.0,0.0,0.0,0.0,0.0,0.0,P09622,Q13794,P24752,Q07820,Q08426,P00505,P33897,0.0,0.0
117,0.0,0.0,0.0,Q13057,0.0,0.0,0.0,0.0,0.0,0.0,Q9H4A6,Q99797,Q15070,O43772,P51659,O14561,0.0,0.0,0.0
118,0.0,0.0,0.0,O00142,0.0,0.0,0.0,0.0,0.0,0.0,Q9BT17,Q53FZ2,Q96E52,P48728,P49675,Q02318,0.0,0.0,0.0
119,0.0,0.0,0.0,P55211,0.0,0.0,0.0,0.0,0.0,0.0,P27695,P53701,Q9UG56,Q9P0J6,Q96E52,Q9UJ68,0.0,0.0,0.0
120,0.0,0.0,0.0,P03923,0.0,0.0,0.0,0.0,0.0,0.0,Q02127,P06746,P12235,Q9BXM7,O94903,P35232,0.0,0.0,0.0
121,0.0,0.0,0.0,Q00059,0.0,0.0,0.0,0.0,0.0,0.0,Q96EY8,Q9UIF7,Q96AY3,P54886,Q96LW4,P23368,0.0,0.0,0.0
122,0.0,0.0,0.0,Q9H6K4,0.0,0.0,0.0,0.0,0.0,0.0,Q96PN6,Q15388,Q16881,P48735,P16219,P31040,0.0,0.0,0.0
123,0.0,0.0,0.0,P00441,0.0,0.0,0.0,0.0,0.0,0.0,P23434,Q9Y3E5,Q14318,P30041,O00408,Q9UHK6,0.0,0.0,0.0
124,0.0,0.0,0.0,O43676,0.0,0.0,0.0,0.0,0.0,0.0,P99999,Q86Y79,Q15118,Q86YH6,P55211,P22033,0.0,0.0,0.0
125,0.0,0.0,0.0,P42574,0.0,0.0,0.0,0.0,0.0,0.0,P30405,P55957,P00846,Q9BYT8,Q9HC21,O75891,0.0,0.0,0.0
126,0.0,0.0,0.0,Q53S33,0.0,0.0,0.0,0.0,0.0,0.0,P12532,Q02318,Q08257,P25325,P54819,P55789,0.0,0.0,0.0
127,0.0,0.0,0.0,Q9UGC7,0.0,0.0,0.0,0.0,0.0,0.0,P17540,Q8N0X4,Q16595,Q9HBH1,Q96PE7,P55851,0.0,0.0,0.0
128,0.0,0.0,0.0,Q14061,0.0,0.0,0.0,0.0,0.0,0.0,Q07817,Q92506,P21397,P53701,Q99714,Q13323,0.0,0.0,0.0
129,0.0,0.0,0.0,Q15120,0.0,0.0,0.0,0.0,0.0,0.0,Q13794,Q5T2R2,Q9H3H1,Q07817,P07108,P03886,0.0,0.0,0.0
130,0.0,0.0,0.0,Q96C36,0.0,0.0,0.0,0.0,0.0,0.0,P52758,P48728,Q99798,Q9NRV9,O14874,P28331,0.0,0.0,0.0
131,0.0,0.0,0.0,Q99643,0.0,0.0,0.0,0.0,0.0,0.0,Q9UHK6,Q9UI32,Q8NE62,P00367,Q14249,P21912,0.0,0.0,0.0
132,0.0,0.0,0.0,Q9BUB7,0.0,0.0,0.0,0.0,0.0,0.0,O43819,P27695,Q9NR77,P00505,P04181,P51648,0.0,0.0,0.0
133,0.0,0.0,0.0,P49748,0.0,0.0,0.0,0.0,0.0,0.0,P55211,P55851,P49916,Q9Y3B8,Q13084,Q9UDR5,0.0,0.0,0.0
134,0.0,0.0,0.0,O14521,0.0,0.0,0.0,0.0,0.0,0.0,Q53FZ2,Q96QU6,P30049,P40926,Q9P0J6,P14324,0.0,0.0,0.0
135,0.0,0.0,0.0,P08574,0.0,0.0,0.0,0.0,0.0,0.0,Q9UKG9,Q14249,P11182,Q16134,O43272,O43772,0.0,0.0,0.0
136,0.0,0.0,0.0,Q16654,0.0,0.0,0.0,0.0,0.0,0.0,P30041,Q16548,Q15046,P38117,P28838,O95847,0.0,0.0,0.0
137,0.0,0.0,0.0,P23786,0.0,0.0,0.0,0.0,0.0,0.0,P49675,Q9P0J6,P51648,P41250,Q9BZ23,Q9BZ23,0.0,0.0,0.0
138,0.0,0.0,0.0,O95139,0.0,0.0,0.0,0.0,0.0,0.0,Q14249,P00505,Q9Y2D0,P55789,Q14197,Q08AH1,0.0,0.0,0.0
139,0.0,0.0,0.0,P56381,0.0,0.0,0.0,0.0,0.0,0.0,P11498,Q07817,P35218,Q99807,P51687,P22830,0.0,0.0,0.0
140,0.0,0.0,0.0,P50416,0.0,0.0,0.0,0.0,0.0,0.0,O60260,P24752,P30044,P22570,Q9UMS0,O43236,0.0,0.0,0.0
141,0.0,0.0,0.0,Q9UMS0,0.0,0.0,0.0,0.0,0.0,0.0,O60220,P21912,Q9UL12,P48047,Q9Y3B8,Q16891,0.0,0.0,0.0
142,0.0,0.0,0.0,P51687,0.0,0.0,0.0,0.0,0.0,0.0,Q96TA2,Q969V5,O95822,Q9H7Z7,P26440,O15528,0.0,0.0,0.0
143,0.0,0.0,0.0,Q5T440,0.0,0.0,0.0,0.0,0.0,0.0,P28838,O60313,Q9P0J1,O95140,P00480,Q8N5Z0,0.0,0.0,0.0
144,0.0,0.0,0.0,P03928,0.0,0.0,0.0,0.0,0.0,0.0,Q9HBH1,P19404,O00408,Q86WU2,P22830,P40926,0.0,0.0,0.0
145,0.0,0.0,0.0,P09417,0.0,0.0,0.0,0.0,0.0,0.0,P31327,Q07820,Q8IXI2,Q96EY8,P05108,Q9UKG9,0.0,0.0,0.0
146,0.0,0.0,0.0,Q8IWA4,0.0,0.0,0.0,0.0,0.0,0.0,Q96HS1,Q9UQ90,Q9GZT8,P00480,Q16548,Q99798,0.0,0.0,0.0
147,0.0,0.0,0.0,P39210,0.0,0.0,0.0,0.0,0.0,0.0,P48735,Q9UDR5,Q9H1K4,Q8N490,Q9HCL2,Q9NVS9,0.0,0.0,0.0
148,0.0,0.0,0.0,P00480,0.0,0.0,0.0,0.0,0.0,0.0,Q9Y2D0,Q8IXI2,Q9NXA8,P17152,Q9NR28,P78540,0.0,0.0,0.0
149,0.0,0.0,0.0,O43766,0.0,0.0,0.0,0.0,0.0,0.0,Q9BXR0,P25874,P28288,Q99798,Q3ZCQ8,O95721,0.0,0.0,0.0
